Pos|Titolo|Publisher|Anno|TitoloNorm|Link
1434|The Castle Perilous|Westwind Simulations|1980|castle perilous|http://index.rpg.net/display-entry.phtml?mainid=6473
1672|Beasts, Men & Gods|Imagination Unlimited / The Game Masters|1980|beasts, men & gods|http://index.rpg.net/display-entry.phtml?mainid=18268
2035|Top Secret: Espionage Role Playing Game|TSR|1980|top secret: espionage|http://index.rpg.net/display-entry.phtml?mainid=2214
536|Heroes of Olympus|Task Force Games|1981|heroes of olympus|http://index.rpg.net/display-entry.phtml?mainid=7536
564|Bushido|Fantasy Games Unlimited|1981|bushido|http://index.rpg.net/display-entry.phtml?mainid=4423
887|Aftermath!|Fantasy Games Unlimited|1981|aftermath!|http://index.rpg.net/display-entry.phtml?mainid=4499
952|The Arduin Trilogy|Grimoire Games|1981|arduin|http://index.rpg.net/display-entry.phtml?mainid=7599
1053|Merc|Fantasy Games Unlimited|1981|merc|http://index.rpg.net/display-entry.phtml?mainid=5020
1076|Land of the Rising Sun|Fantasy Games Unlimited|1981|land of the rising sun|http://index.rpg.net/display-entry.phtml?mainid=4407
1339|Star Rovers|Archive|1981|star rovers|http://index.rpg.net/display-entry.phtml?mainid=6515
1402|The Mechanoid Invasion|Palladium Books|1981|mechanoid invasion|http://index.rpg.net/display-entry.phtml?mainid=5999
1410|Wild West|Fantasy Games Unlimited|1981|wild west|http://index.rpg.net/display-entry.phtml?mainid=7896
1447|Melanda: Land of Mystery|Wilmark Dynasty|1981|melanda|http://index.rpg.net/display-entry.phtml?mainid=7739
2111|The Spawn of Fashan|The Games of Fashan|1981|spawn of fashan|http://index.rpg.net/display-entry.phtml?mainid=7537
208|Swordbearer|Heritage USA|1982|swordbearer|http://index.rpg.net/display-entry.phtml?mainid=1749
408|Villains and Vigilantes|Fantasy Games Unlimited|1982|villains and vigilantes|http://index.rpg.net/display-entry.phtml?mainid=1381
467|GangBusters|TSR|1982|gangbusters|http://index.rpg.net/display-entry.phtml?mainid=5012
499|Rolemaster|I.C.E.|1982|rolemaster|http://index.rpg.net/display-entry.phtml?mainid=2649
866|Daredevils|Fantasy Games Unlimited|1982|daredevils|http://index.rpg.net/display-entry.phtml?mainid=4415
950|Behind Enemy Lines|FASA Corporation|1982|behind enemy lines|http://index.rpg.net/display-entry.phtml?mainid=3993
982|Worlds of Wonder|Chaosium|1982|worlds of wonder|http://index.rpg.net/display-entry.phtml?mainid=1185
1035|Claw Law|I.C.E.|1982|claw law|http://index.rpg.net/display-entry.phtml?mainid=2648
1045|Droids|Intergral Games|1982|droids|http://index.rpg.net/display-entry.phtml?mainid=7432
1201|Dragons of Underearth|Metagaming|1982|dragons of underearth|http://index.rpg.net/display-entry.phtml?mainid=7914
1203|Starfleet Voyages|Terra Games|1982|starfleet voyages|http://index.rpg.net/display-entry.phtml?mainid=10242
1327|Supervillains|Task Force Games|1982|supervillains|http://index.rpg.net/display-entry.phtml?mainid=5987
1370|Pirates and Plunder|Yaquinto|1982|pirates and plunder|http://index.rpg.net/display-entry.phtml?mainid=6523
1407|Heroic Fantasy|Flying Buffalo|1982|heroic fantasy|http://index.rpg.net/display-entry.phtml?mainid=5341
1453|Field Guide to Encounters|Judges Guild|1982|field guide to encounters|http://index.rpg.net/display-entry.phtml?mainid=7915
1542|Phase VII|Cheshire Games|1982|phase vii|http://index.rpg.net/display-entry.phtml?mainid=6786
1821|Neighborhood|Wheaton Publishing|1982|neighborhood|http://index.rpg.net/display-entry.phtml?mainid=14617
1880|Sherlock Holmes Consulting Detective|Sleuth Publications|1982|sherlock holmes consulting detective|http://index.rpg.net/display-entry.phtml?mainid=19475
1975|Character Law|I.C.E.|1982|character law|http://index.rpg.net/display-entry.phtml?mainid=2646
1981|Alma Mater|Oracle Games Ltd.|1982|alma mater|http://index.rpg.net/display-entry.phtml?mainid=1488
1996|Starleader: Assault!|Metagaming|1982|starleader: assault!|http://index.rpg.net/display-entry.phtml?mainid=7887
2142|KABAL|Kabal Gaming Systems|1982|kabal|http://index.rpg.net/display-entry.phtml?mainid=6215
115|James Bond 007|Victory Games|1983|james bond 007|http://index.rpg.net/display-entry.phtml?mainid=219
326|Gamma World|TSR|1983|gamma world|http://index.rpg.net/display-entry.phtml?mainid=2047
373|Palladium Fantasy RPG|Palladium Books|1983|palladium|http://index.rpg.net/display-entry.phtml?mainid=2989
628|Valley of the Pharaohs|Palladium Books|1983|valley of the pharaohs|http://index.rpg.net/display-entry.phtml?mainid=2072
669|Star Frontiers|TSR|1983|star frontiers|http://index.rpg.net/display-entry.phtml?mainid=1539
825|Privateers and Gentlemen|Fantasy Games Unlimited|1983|privateers and gentlemen|http://index.rpg.net/display-entry.phtml?mainid=4419
900|Espionage!|Hero Games|1983|espionage!|http://index.rpg.net/display-entry.phtml?mainid=1386
954|Lands of Adventure|Fantasy Games Unlimited|1983|lands of adventure|http://index.rpg.net/display-entry.phtml?mainid=4409
1220|Hidden Kingdom|New Rules|1983|hidden kingdom|http://index.rpg.net/display-entry.phtml?mainid=288
1223|Wizards' Realm|Mystic Swamp|1983|wizards' realm|http://index.rpg.net/display-entry.phtml?mainid=5302
1261|Victorian Adventure|Kestrel Design|1983|victorian adventure|http://index.rpg.net/display-entry.phtml?mainid=6099
1263|Mach: The First Colony|Alliance Publications|1983|mach: the first colony|http://index.rpg.net/display-entry.phtml?mainid=6221
1275|Element Masters|Escape Ventures|1983|element masters|http://index.rpg.net/display-entry.phtml?mainid=8151
1323|Super Squadron|Adventure Simulations|1983|super squadron|http://index.rpg.net/display-entry.phtml?mainid=6982
1372|To Challenge Tomorrow|Ragnarok Enterprises|1983|to challenge tomorrow|http://index.rpg.net/display-entry.phtml?mainid=6879
1990|Witch Hunt|StatCom Simulations|1983|witch hunt|http://index.rpg.net/display-entry.phtml?mainid=6190
2001|Powers & Perils|Avalon Hill|1983|powers & perils|http://index.rpg.net/display-entry.phtml?mainid=4424
2046|Superworld|Chaosium|1983|superworld|http://index.rpg.net/display-entry.phtml?mainid=2175
2084|Other Suns|Fantasy Games Unlimited|1983|other suns|http://index.rpg.net/display-entry.phtml?mainid=10
2112|Timeship|Yaquinto|1983|timeship|http://index.rpg.net/display-entry.phtml?mainid=4988
71|Toon|Steve Jackson Games|1984|toon|http://index.rpg.net/display-entry.phtml?mainid=883
221|Chill|Pacesetter|1984|chill|http://index.rpg.net/display-entry.phtml?mainid=382
258|Justice Inc.|Hero Games|1984|justice inc.|http://index.rpg.net/display-entry.phtml?mainid=1370
288|Marvel Super Heroes|TSR|1984|marvel super heroes|http://index.rpg.net/display-entry.phtml?mainid=3494
390|Lords of Creation|Avalon Hill|1984|lords of creation|http://index.rpg.net/display-entry.phtml?mainid=1389
436|Flashing Blades|Fantasy Games Unlimited|1984|flashing blades|http://index.rpg.net/display-entry.phtml?mainid=1579
521|Ringworld|Chaosium|1984|ringworld|http://index.rpg.net/display-entry.phtml?mainid=338
561|DragonRaid|Adventures For Christ|1984|dragonraid|http://index.rpg.net/display-entry.phtml?mainid=6157
607|Fringeworthy|TriTac Systems|1984|fringeworthy|http://index.rpg.net/display-entry.phtml?mainid=1932
615|Star Ace|Pacesetter|1984|star ace|http://index.rpg.net/display-entry.phtml?mainid=1020
716|Maelstrom|Puffin Books|1984|maelstrom|http://index.rpg.net/display-entry.phtml?mainid=1328
805|Elfquest|Chaosium|1984|elfquest|http://index.rpg.net/display-entry.phtml?mainid=1524
813|Fighting Fantasy|Puffin Books|1984|fighting fantasy|http://index.rpg.net/display-entry.phtml?mainid=1613
844|Timemaster|Pacesetter|1984|timemaster|http://index.rpg.net/display-entry.phtml?mainid=6188
1032|Golden Heroes|Games Workshop|1984|golden heroes|http://index.rpg.net/display-entry.phtml?mainid=6192
1119|Psi World|Fantasy Games Unlimited|1984|psi world|http://index.rpg.net/display-entry.phtml?mainid=4314
1162|Swords & Glory|Gamescience|1984|swords & glory|http://index.rpg.net/display-entry.phtml?mainid=582
1302|Time & Time Again|Timeline|1984|time & time again|http://index.rpg.net/display-entry.phtml?mainid=7284
1495|Phantasy Conclave||1984|phantasy conclave|http://index.rpg.net/display-entry.phtml?mainid=8132
2019|The Morrow Project|Timeline|1984|morrow project|http://index.rpg.net/display-entry.phtml?mainid=1493
2131|The Adventures of Indiana Jones|TSR|1984|indiana jones|http://index.rpg.net/display-entry.phtml?mainid=6191
302|Skyrealms of Jorune|SkyRealms Publishing|1985|skyrealms of jorune|http://index.rpg.net/display-entry.phtml?mainid=2077
344|Teenage Mutant Ninja Turtles & Other Strangeness|Palladium Books|1985|teenage mutant ninja turtles|http://index.rpg.net/display-entry.phtml?mainid=1069
504|The Arcanum|Bard Games|1985|arcanum|http://index.rpg.net/display-entry.phtml?mainid=5541
583|Danger International|Hero Games|1985|danger international|http://index.rpg.net/display-entry.phtml?mainid=2045
624|Star Trek: The Role-Playing Game|FASA Corporation|1985|star trek|http://index.rpg.net/display-entry.phtml?mainid=947
780|FTL 2448|TriTac Systems|1985|ftl 2448|http://index.rpg.net/display-entry.phtml?mainid=1942
857|Conan Role-Playing Game|TSR|1985|conan|http://index.rpg.net/display-entry.phtml?mainid=2385
957|The Way of Wizardry|Corgi Books|1985|way of wizardry|http://index.rpg.net/display-entry.phtml?mainid=1611
1001|Future Law|I.C.E.|1985|future law|http://index.rpg.net/display-entry.phtml?mainid=4210
1015|Fantasy Hero|Hero Games|1985|fantasy hero|http://index.rpg.net/display-entry.phtml?mainid=8784
1056|Tech Law|I.C.E.|1985|tech law|http://index.rpg.net/display-entry.phtml?mainid=4211
1091|Sandman: Map of Halaal|Pacesetter|1985|sandman: map of halaal|http://index.rpg.net/display-entry.phtml?mainid=7356
1106|The Future King|Spellbinders Games|1985|future king|http://index.rpg.net/display-entry.phtml?mainid=14164
1184|Space Master|I.C.E.|1985|space master|http://index.rpg.net/display-entry.phtml?mainid=4212
1219|Midnight at the Well of Souls Role-Playing System|TAG Industries|1985|midnight at the well of souls|http://index.rpg.net/display-entry.phtml?mainid=4563
1254|Dragonroar|Standard Games|1985|dragonroar|http://index.rpg.net/display-entry.phtml?mainid=6885
1336|World Action And Adventure|M.S. Kinney|1985|world action and adventure|http://index.rpg.net/display-entry.phtml?mainid=13102
1354|The Masters of the Universe Role Playing Game|FASA Corporation|1985|masters of the universe|http://index.rpg.net/display-entry.phtml?mainid=14405
1377|Rhand: Morningstar Missions|Leading Edge Games|1985|rhand|http://index.rpg.net/display-entry.phtml?mainid=7862
1436|Advanced Cassiopeian Empire|Norton Games|1985|advanced cassiopeian empire|http://index.rpg.net/display-entry.phtml?mainid=7282
1766|Dinky Dungeons|Doc's Games: An Uncle Morty Production|1985|dinky dungeons|http://index.rpg.net/display-entry.phtml?mainid=17950
1767|Weirdzone|TriTac Systems|1985|weirdzone|http://index.rpg.net/display-entry.phtml?mainid=15200
1939|Gumshoe: The Hard-Boiled Detective in the Thirties|Sleuth Publications|1985|gumshoe: the hard-boiled detective in the thirties|http://index.rpg.net/display-entry.phtml?mainid=19485
2003|Mekton|R. Talsorian Games|1985|mekton|http://index.rpg.net/display-entry.phtml?mainid=5658
2068|Excursion into the....Bizarre!|Blind Dog Games|1985|excursion into the bizarre!|http://index.rpg.net/display-entry.phtml?mainid=52
92|Ghostbusters|West End Games|1986|ghostbusters|http://index.rpg.net/display-entry.phtml?mainid=1077
331|HârnMaster|Columbia Games|1986|hârnmaster|http://index.rpg.net/display-entry.phtml?mainid=1231
587|Mercenaries, Spies & Private Eyes|Sleuth Publications|1986|mercenaries, spies & private eyes|http://index.rpg.net/display-entry.phtml?mainid=1387
652|Character Law & Campaign Law|I.C.E.|1986|character law & campaign law|http://index.rpg.net/display-entry.phtml?mainid=2653
668|Recon|Palladium Books|1986|recon|http://index.rpg.net/display-entry.phtml?mainid=869
769|The Doctor Who Roleplaying Game|FASA Corporation|1986|doctor who|http://index.rpg.net/display-entry.phtml?mainid=5250
908|Phoenix Command|Leading Edge Games|1986|phoenix command|http://index.rpg.net/display-entry.phtml?mainid=2053
958|Out of the Shadows|Corgi Books|1986|out of the shadows|http://index.rpg.net/display-entry.phtml?mainid=1628
967|Freedom Fighters|Fantasy Games Unlimited|1986|freedom fighters|http://index.rpg.net/display-entry.phtml?mainid=516
989|Delta Force|Task Force Games|1986|delta force|http://index.rpg.net/display-entry.phtml?mainid=4049
1026|Middle-Earth Role Playing|I.C.E.|1986|middle-earth role playing|http://index.rpg.net/display-entry.phtml?mainid=2532
1052|Year of the Phoenix|Fantasy Games Unlimited|1986|year of the phoenix|http://index.rpg.net/display-entry.phtml?mainid=4411
1143|The Power of Darkness|Corgi Books|1986|power of darkness|http://index.rpg.net/display-entry.phtml?mainid=1629
1153|Hawkmoon|Chaosium|1986|hawkmoon|http://index.rpg.net/display-entry.phtml?mainid=1095
1198|Robot Warriors|Hero Games / I.C.E.|1986|robot warriors|http://index.rpg.net/display-entry.phtml?mainid=7136
1210|The Price of Freedom|West End Games|1986|price of freedom|http://index.rpg.net/display-entry.phtml?mainid=5737
1285|Creeks & Crawdads|Crustaceum Games|1986|creeks & crawdads|http://index.rpg.net/display-entry.phtml?mainid=11128
1357|The Challenges Game System|Challenges International|1986|challenges game system|http://index.rpg.net/display-entry.phtml?mainid=14165
1961|By the Gods|Ragnarok Enterprises|1986|by the gods|http://index.rpg.net/display-entry.phtml?mainid=19472
1993|Eternal Soldier|TaiGear Simulations|1986|eternal soldier|http://index.rpg.net/display-entry.phtml?mainid=8553
2069|Robotech: The Role-Playing Game|Palladium Books|1986|robotech|http://index.rpg.net/display-entry.phtml?mainid=3032
904|Living Steel|Leading Edge Games|1987|living steel|http://index.rpg.net/display-entry.phtml?mainid=8564
1137|TWERPS Basic Rules|Reindeer Games|1987|twerps|http://index.rpg.net/display-entry.phtml?mainid=12185
1306|MEGA Role-Playing System|MEGA Games|1987|mega role-playing system|http://index.rpg.net/display-entry.phtml?mainid=8556
1494|Future Worlds|Stellar Gaming Workshop|1987|future worlds|http://index.rpg.net/display-entry.phtml?mainid=7924
1973|Enforcers|TwentyFirst Century Games|1987|enforcers|http://index.rpg.net/display-entry.phtml?mainid=1317
2077|Heroes Unlimited|Palladium Books|1987|heroes unlimited|http://index.rpg.net/display-entry.phtml?mainid=5229
2146|Cyborg Commando|New Infinities Productions|1987|cyborg commando|http://index.rpg.net/display-entry.phtml?mainid=5661
127|GURPS Basic Set|Steve Jackson Games|1988|gurps|http://index.rpg.net/display-entry.phtml?mainid=2027
245|Space: 1889|GDW|1988|space: 1889|http://index.rpg.net/display-entry.phtml?mainid=220
684|Beyond the Supernatural|Palladium Books|1988|beyond the supernatural|http://index.rpg.net/display-entry.phtml?mainid=1724
686|Darksword Adventures|Bantam / Spectra|1988|darksword adventures|http://index.rpg.net/display-entry.phtml?mainid=3277
1012|Justifiers RPG|StarChilde Publications|1988|justifiers|http://index.rpg.net/display-entry.phtml?mainid=1621
1078|Quest of the Ancients|Unicorn Game Publications|1988|quest of the ancients|http://index.rpg.net/display-entry.phtml?mainid=8756
1116|Bullwinkle and Rocky Role-Playing Party Game|TSR|1988|bullwinkle and rocky|http://index.rpg.net/display-entry.phtml?mainid=7484
1226|Manhunter|Kingslayer Publications|1988|manhunter|http://index.rpg.net/display-entry.phtml?mainid=8609
1256|Woof Meow|Game Systems|1988|woof meow|http://index.rpg.net/display-entry.phtml?mainid=1489
1265|Bloodbath|T.C. International|1988|bloodbath|http://index.rpg.net/display-entry.phtml?mainid=8201
1386|Deepsleep|Godiva Productions|1988|deepsleep|http://index.rpg.net/display-entry.phtml?mainid=7421
1496|SpaceTime|BTRC|1988|spacetime|http://index.rpg.net/display-entry.phtml?mainid=12019
2073|High Colonies|Waterford Publishing House|1988|high colonies|http://index.rpg.net/display-entry.phtml?mainid=6226
42|Ars Magica|Lion Rampant|1989|ars magica|http://index.rpg.net/display-entry.phtml?mainid=32
72|Prince Valiant|Chaosium|1989|prince valiant|http://index.rpg.net/display-entry.phtml?mainid=28
172|DC Heroes|Mayfair Games|1989|dc heroes|http://index.rpg.net/display-entry.phtml?mainid=2892
218|Champions|Hero Games / I.C.E.|1989|champions|http://index.rpg.net/display-entry.phtml?mainid=5222
353|Crimson Cutlass|Better Games|1989|crimson cutlass|http://index.rpg.net/display-entry.phtml?mainid=9698
367|Talislanta|Bard Games|1989|talislanta|http://index.rpg.net/display-entry.phtml?mainid=717
379|Teenagers from Outer Space|R. Talsorian Games|1989|teenagers from outer space|http://index.rpg.net/display-entry.phtml?mainid=5682
491|Batman Role-Playing Game|Mayfair Games|1989|batman|http://index.rpg.net/display-entry.phtml?mainid=75
558|Dungeoneer|Puffin Books|1989|dungeoneer|http://index.rpg.net/display-entry.phtml?mainid=65
623|Macho Women with Guns|BTRC|1989|macho women with guns|http://index.rpg.net/display-entry.phtml?mainid=3090
680|Cyberspace|I.C.E.|1989|cyberspace|http://index.rpg.net/display-entry.phtml?mainid=1928
722|Lace & Steel|The Australian Gaming Group|1989|lace & steel|http://index.rpg.net/display-entry.phtml?mainid=19239
807|Worlds Beyond|Other World Games|1989|worlds beyond|http://index.rpg.net/display-entry.phtml?mainid=6089
1135|Star Hero|Hero Games / I.C.E.|1989|star hero|http://index.rpg.net/display-entry.phtml?mainid=6228
1158|It Came From the Late, Late, Late Show|Stellar Games|1989|it came from the late, late, late show|http://index.rpg.net/display-entry.phtml?mainid=2990
1299|Mutazoids|Whit Publications|1989|mutazoids|http://index.rpg.net/display-entry.phtml?mainid=8557
1343|Critter Commandos|Crunchy Frog Enterprises|1989|critter commandos|http://index.rpg.net/display-entry.phtml?mainid=4965
1421|Omnigon|Games|1989|omnigon|http://index.rpg.net/display-entry.phtml?mainid=13749
1968|EsperAgents|Ragnarok Enterprises|1989|esperagents|http://index.rpg.net/display-entry.phtml?mainid=19473
3|King Arthur Pendragon|Chaosium|1990|pendragon|http://index.rpg.net/display-entry.phtml?mainid=198
170|Torg|West End Games|1990|torg|http://index.rpg.net/display-entry.phtml?mainid=1051
201|Cyberpunk|R. Talsorian Games|1990|cyberpunk|http://index.rpg.net/display-entry.phtml?mainid=353
416|Boot Hill|TSR|1990|boot hill|http://index.rpg.net/display-entry.phtml?mainid=3998
425|Knights Adventurous|Chaosium|1990|knights adventurous|http://index.rpg.net/display-entry.phtml?mainid=200
520|Ninjas & Superspies|Palladium Books|1990|ninjas & superspies|http://index.rpg.net/display-entry.phtml?mainid=6690
565|Stormbringer|Chaosium|1990|stormbringer|http://index.rpg.net/display-entry.phtml?mainid=1074
576|Hero System Rulesbook|Hero Games / I.C.E.|1990|hero system|http://index.rpg.net/display-entry.phtml?mainid=5225
685|Bureau 13: Stalking the Night Fantastic|TriTac Systems|1990|bureau 13|http://index.rpg.net/display-entry.phtml?mainid=7355
797|Legionnaire|FASA Corporation|1990|legionnaire|http://index.rpg.net/display-entry.phtml?mainid=5793
874|TimeLords|BTRC|1990|timelords|http://index.rpg.net/display-entry.phtml?mainid=3035
918|Barony|Better Games|1990|barony|http://index.rpg.net/display-entry.phtml?mainid=5557
922|Desperados|Skycastle Games|1990|desperados|http://index.rpg.net/display-entry.phtml?mainid=6245
972|Shek-Pvar|Columbia Games|1990|shek-pvar|http://index.rpg.net/display-entry.phtml?mainid=9074
974|Duck Trooper|TriTac Systems|1990|duck trooper|http://index.rpg.net/display-entry.phtml?mainid=1533
1094|Fifth Cycle|Shield Games|1990|fifth cycle|http://index.rpg.net/display-entry.phtml?mainid=8239
1266|XXVc: The 25th Century Role-Playing Game|TSR|1990|xxvc|http://index.rpg.net/display-entry.phtml?mainid=7208
1295|Age of Ruin|Cutting Edge Games|1990|age of ruin|http://index.rpg.net/display-entry.phtml?mainid=9703
1335|Morpheus|Rapport Games|1990|morpheus|http://index.rpg.net/display-entry.phtml?mainid=1658
1396|Conrad's Fantasy|Better Games|1990|conrad's fantasy|http://index.rpg.net/display-entry.phtml?mainid=5554
1415|Rüs|Rus Games|1990|rüs|http://index.rpg.net/display-entry.phtml?mainid=9709
1468|Shields of Power|Shield Maiden|1990|shields of power|http://index.rpg.net/display-entry.phtml?mainid=8739
1572|Time Drifters|Dimensional Strategies|1990|time drifters|http://index.rpg.net/display-entry.phtml?mainid=9711
2007|Rifts|Palladium Books|1990|rifts|http://index.rpg.net/display-entry.phtml?mainid=874
2008|Cadillacs and Dinosaurs|GDW|1990|cadillacs and dinosaurs|http://index.rpg.net/display-entry.phtml?mainid=2778
2044|Reich Star|Creative Encounters|1990|reich star|http://index.rpg.net/display-entry.phtml?mainid=3143
2074|Attack of the Humans|Rapport Games|1990|attack of the humans|http://index.rpg.net/display-entry.phtml?mainid=5832
2141|Expendables|Stellar Games|1990|expendables|http://index.rpg.net/display-entry.phtml?mainid=1778
148|Amber Diceless Role-Playing|Phage Press|1991|amber|http://index.rpg.net/display-entry.phtml?mainid=136
263|Dark Conspiracy|GDW|1991|dark conspiracy|http://index.rpg.net/display-entry.phtml?mainid=1371
777|Time Lord|Virgin Publishing Ltd.|1991|time lord|http://index.rpg.net/display-entry.phtml?mainid=1019
785|Tales From The Floating Vagabond|Avalon Hill|1991|tales from the floating vagabond|http://index.rpg.net/display-entry.phtml?mainid=1039
856|Tales from the Forlorn Hope|R. Talsorian Games|1991|tales from the forlorn hope|http://index.rpg.net/display-entry.phtml?mainid=1427
948|NightLife|Stellar Games|1991|nightlife|http://index.rpg.net/display-entry.phtml?mainid=5438
1007|Legendary Lives|Marquee Press|1991|legendary lives|http://index.rpg.net/display-entry.phtml?mainid=9691
1221|Warp World|BTRC|1991|warp world|http://index.rpg.net/display-entry.phtml?mainid=8821
1233|Afterwars|Stellar Games|1991|afterwars|http://index.rpg.net/display-entry.phtml?mainid=5251
1252|The Hunt: The Ultimate Arena Sport|Maverick Games Co.|1991|the hunt|http://index.rpg.net/display-entry.phtml?mainid=5833
1359|LegendQuest|Board Enterprises|1991|legendquest|http://index.rpg.net/display-entry.phtml?mainid=5720
1366|So Ya Wanna Be A Rock N' Roll Star!|Bill Barton Games|1991|so ya wanna be a rock n' roll star!|http://index.rpg.net/display-entry.phtml?mainid=998
