"Terms","Docs","Freq","post.link","author.id","author.name","author.link","post.dt","categories","locations","comments.num","role","location","Prov","Regione","Latitudine.Prov","Longitudine.Prov"
"d&d","71516",1,"https://www.gdrplayers.it/2-giocatori-cercano-gruppo-dd-5-pathfinder-roll20","devolre","Devolre","https://www.gdrplayers.it/author/devolre/",2017-10-22 14:00:10,"Ricerca giocatori",NA,5,"Player",NA,NA,NA,NA,NA
"pathfinder","71516",1,"https://www.gdrplayers.it/2-giocatori-cercano-gruppo-dd-5-pathfinder-roll20","devolre","Devolre","https://www.gdrplayers.it/author/devolre/",2017-10-22 14:00:10,"Ricerca giocatori",NA,5,"Player",NA,NA,NA,NA,NA
"d&d","56612",1,"https://www.gdrplayers.it/2-giocatori-cercano-gruppo-dd-gioco-simile-milano","robertogaslini","RobertoGaslini","https://www.gdrplayers.it/author/robertogaslini/",2016-09-07 07:46:02,"Ricerca giocatori","Milano",5,"Player","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"pathfinder","56612",1,"https://www.gdrplayers.it/2-giocatori-cercano-gruppo-dd-gioco-simile-milano","robertogaslini","RobertoGaslini","https://www.gdrplayers.it/author/robertogaslini/",2016-09-07 07:46:02,"Ricerca giocatori","Milano",5,"Player","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"d&d","64915",1,"https://www.gdrplayers.it/2-giocatori-cercasi-dnd-next-zonatorrevecchia-roma","daniisteel","Daniisteel","https://www.gdrplayers.it/author/daniisteel/",2017-04-24 08:00:05,"Ricerca giocatori","Roma",0,NA,"Roma","RM","Lazio","41,9075000000","12,4900000000"
"hoard","64915",1,"https://www.gdrplayers.it/2-giocatori-cercasi-dnd-next-zonatorrevecchia-roma","daniisteel","Daniisteel","https://www.gdrplayers.it/author/daniisteel/",2017-04-24 08:00:05,"Ricerca giocatori","Roma",0,NA,"Roma","RM","Lazio","41,9075000000","12,4900000000"
"d&d","69049",1,"https://www.gdrplayers.it/2-giocatori-dd-35-online-cercano-gruppo-milano","ombralesta","OmbraLesta","https://www.gdrplayers.it/author/ombralesta/",2017-09-04 16:00:12,"Ricerca giocatori","Milano",2,"Player","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"vampire the masquerade","66082",1,"https://www.gdrplayers.it/2-giocatori-vampiri","sandro92","Tombstone!","https://www.gdrplayers.it/author/sandro92/",2017-05-30 14:00:35,"Ricerca giocatori","Milano",6,"Game Master","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"pathfinder","58499",1,"https://www.gdrplayers.it/2-players-lfg","xhanity","Xhanity","https://www.gdrplayers.it/author/xhanity/",2016-10-22 19:51:32,"Ricerca giocatori","Firenze",3,"Player","Firenze","FI","Toscana","43,7744400000","11,2580600000"
"call of cthulhu","69456",1,"https://www.gdrplayers.it/23-enne-cerca-gruppo","sennar94","Sennar94","https://www.gdrplayers.it/author/sennar94/",2017-09-12 16:00:12,"Ricerca giocatori","Milano",5,"Player","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"d&d","69456",1,"https://www.gdrplayers.it/23-enne-cerca-gruppo","sennar94","Sennar94","https://www.gdrplayers.it/author/sennar94/",2017-09-12 16:00:12,"Ricerca giocatori","Milano",5,"Player","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"pathfinder","69456",1,"https://www.gdrplayers.it/23-enne-cerca-gruppo","sennar94","Sennar94","https://www.gdrplayers.it/author/sennar94/",2017-09-12 16:00:12,"Ricerca giocatori","Milano",5,"Player","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"vampire the masquerade","69456",1,"https://www.gdrplayers.it/23-enne-cerca-gruppo","sennar94","Sennar94","https://www.gdrplayers.it/author/sennar94/",2017-09-12 16:00:12,"Ricerca giocatori","Milano",5,"Player","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"conan","52023",1,"https://www.gdrplayers.it/3-5pathfinder-cerco-gruppo-bologna","pharasma","Pharasma","https://www.gdrplayers.it/author/pharasma/",2016-02-12 11:05:01,"Ricerca giocatori","Bologna",2,"Game Master","Bologna","BO","Emilia-Romagna","44,4955600000","11,3466700000"
"d&d","52023",1,"https://www.gdrplayers.it/3-5pathfinder-cerco-gruppo-bologna","pharasma","Pharasma","https://www.gdrplayers.it/author/pharasma/",2016-02-12 11:05:01,"Ricerca giocatori","Bologna",2,"Game Master","Bologna","BO","Emilia-Romagna","44,4955600000","11,3466700000"
"pathfinder","52023",1,"https://www.gdrplayers.it/3-5pathfinder-cerco-gruppo-bologna","pharasma","Pharasma","https://www.gdrplayers.it/author/pharasma/",2016-02-12 11:05:01,"Ricerca giocatori","Bologna",2,"Game Master","Bologna","BO","Emilia-Romagna","44,4955600000","11,3466700000"
"primeval","52023",1,"https://www.gdrplayers.it/3-5pathfinder-cerco-gruppo-bologna","pharasma","Pharasma","https://www.gdrplayers.it/author/pharasma/",2016-02-12 11:05:01,"Ricerca giocatori","Bologna",2,"Game Master","Bologna","BO","Emilia-Romagna","44,4955600000","11,3466700000"
"ravenloft","52023",1,"https://www.gdrplayers.it/3-5pathfinder-cerco-gruppo-bologna","pharasma","Pharasma","https://www.gdrplayers.it/author/pharasma/",2016-02-12 11:05:01,"Ricerca giocatori","Bologna",2,"Game Master","Bologna","BO","Emilia-Romagna","44,4955600000","11,3466700000"
"d&d","50636",1,"https://www.gdrplayers.it/3-giocatori-cerca-avventure-dd-firenze-sesto-fiorentino-limitrofi","dian","Dian","https://www.gdrplayers.it/author/dian/",2015-12-02 20:00:44,"Ricerca giocatori","Firenze",11,NA,"Firenze","FI","Toscana","43,7744400000","11,2580600000"
"d&d","51192",1,"https://www.gdrplayers.it/3-giocatori-cerca-un-master","pablo83","pablo83","https://www.gdrplayers.it/author/pablo83/",2016-01-01 12:46:26,"Ricerca giocatori","Torino",10,"Player","Torino","TO","Piemonte","45,0661100000","7,6822200000"
"fate","51192",1,"https://www.gdrplayers.it/3-giocatori-cerca-un-master","pablo83","pablo83","https://www.gdrplayers.it/author/pablo83/",2016-01-01 12:46:26,"Ricerca giocatori","Torino",10,"Player","Torino","TO","Piemonte","45,0661100000","7,6822200000"
"pathfinder","51192",1,"https://www.gdrplayers.it/3-giocatori-cerca-un-master","pablo83","pablo83","https://www.gdrplayers.it/author/pablo83/",2016-01-01 12:46:26,"Ricerca giocatori","Torino",10,"Player","Torino","TO","Piemonte","45,0661100000","7,6822200000"
"savage worlds","51192",1,"https://www.gdrplayers.it/3-giocatori-cerca-un-master","pablo83","pablo83","https://www.gdrplayers.it/author/pablo83/",2016-01-01 12:46:26,"Ricerca giocatori","Torino",10,"Player","Torino","TO","Piemonte","45,0661100000","7,6822200000"
"sine requie","51192",1,"https://www.gdrplayers.it/3-giocatori-cerca-un-master","pablo83","pablo83","https://www.gdrplayers.it/author/pablo83/",2016-01-01 12:46:26,"Ricerca giocatori","Torino",10,"Player","Torino","TO","Piemonte","45,0661100000","7,6822200000"
"d&d","36509",1,"https://www.gdrplayers.it/3-giocatori-cercano-gruppo-milano-nord","chiericopersempre","chiericopersempre","https://www.gdrplayers.it/author/chiericopersempre/",2014-05-05 09:16:28,"Ricerca giocatori","Milano",3,"Player","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"d&d","26659",1,"https://www.gdrplayers.it/3-giocatori-cercano-gruppo-per-dd-livorno-centro","cantagallo","Cantagallo","https://www.gdrplayers.it/author/cantagallo/",2013-07-16 18:23:04,"Ricerca giocatori","Livorno",1,"Player","Livorno","LI","Toscana","43,5580600000","10,3141700000"
"d&d","7487",1,"https://www.gdrplayers.it/3-giocatori-pathfinderdd-3-5-cercano-master-su-milano","the-scarecrow","The Scarecrow","https://www.gdrplayers.it/author/the-scarecrow/",2011-06-28 14:15:16,"Ricerca giocatori","Milano",6,"Player","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"pathfinder","7487",1,"https://www.gdrplayers.it/3-giocatori-pathfinderdd-3-5-cercano-master-su-milano","the-scarecrow","The Scarecrow","https://www.gdrplayers.it/author/the-scarecrow/",2011-06-28 14:15:16,"Ricerca giocatori","Milano",6,"Player","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"ad&d","15034",1,"https://www.gdrplayers.it/3-personaggi-cerca-dautore","tremor","TreMoR","https://www.gdrplayers.it/author/tremor/",2012-07-02 18:11:17,"Ricerca giocatori","Roma",19,"Game Master","Roma","RM","Lazio","41,9075000000","12,4900000000"
"burning wheel","15034",1,"https://www.gdrplayers.it/3-personaggi-cerca-dautore","tremor","TreMoR","https://www.gdrplayers.it/author/tremor/",2012-07-02 18:11:17,"Ricerca giocatori","Roma",19,"Game Master","Roma","RM","Lazio","41,9075000000","12,4900000000"
"cyberpunk","15034",1,"https://www.gdrplayers.it/3-personaggi-cerca-dautore","tremor","TreMoR","https://www.gdrplayers.it/author/tremor/",2012-07-02 18:11:17,"Ricerca giocatori","Roma",19,"Game Master","Roma","RM","Lazio","41,9075000000","12,4900000000"
"d&d","15034",1,"https://www.gdrplayers.it/3-personaggi-cerca-dautore","tremor","TreMoR","https://www.gdrplayers.it/author/tremor/",2012-07-02 18:11:17,"Ricerca giocatori","Roma",19,"Game Master","Roma","RM","Lazio","41,9075000000","12,4900000000"
"robotech","15034",1,"https://www.gdrplayers.it/3-personaggi-cerca-dautore","tremor","TreMoR","https://www.gdrplayers.it/author/tremor/",2012-07-02 18:11:17,"Ricerca giocatori","Roma",19,"Game Master","Roma","RM","Lazio","41,9075000000","12,4900000000"
"vampire the masquerade","15034",1,"https://www.gdrplayers.it/3-personaggi-cerca-dautore","tremor","TreMoR","https://www.gdrplayers.it/author/tremor/",2012-07-02 18:11:17,"Ricerca giocatori","Roma",19,"Game Master","Roma","RM","Lazio","41,9075000000","12,4900000000"
"d&d","52835",1,"https://www.gdrplayers.it/3-ragazzi-cercano-gm-avventura-dd","jacopo22p","jacopo22p","https://www.gdrplayers.it/author/jacopo22p/",2016-03-16 20:00:21,"Ricerca giocatori","Venezia",1,"Player","Venezia","VE","Veneto","45,4380600000","12,3275000000"
"d&d","29469",1,"https://www.gdrplayers.it/4-giocatori-cerca-master","miky91","Miky91","https://www.gdrplayers.it/author/miky91/",2013-10-03 17:16:08,"Ricerca giocatori","Roma",2,"Player","Roma","RM","Lazio","41,9075000000","12,4900000000"
"d&d","55082",1,"https://www.gdrplayers.it/4-giocatori-cerca-un-master-dd-roll20","relekele","Relekele","https://www.gdrplayers.it/author/relekele/",2016-07-07 15:18:32,"Ricerca giocatori",NA,2,"Player",NA,NA,NA,NA,NA
"d&d","40589",1,"https://www.gdrplayers.it/4-giocatori-cercano-dm-milano","mithrandir","mithrandir","https://www.gdrplayers.it/author/mithrandir/",2014-10-04 12:00:45,"Ricerca giocatori","Milano",4,"Player","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"d&d","74704",1,"https://www.gdrplayers.it/5e-roma-sud-marconi-garbatella-montagnola-trastevere-eur-cerco-gruppo-preferibilmente-giocare-posso-anche-masterare","grimnir","Grimnir","https://www.gdrplayers.it/author/grimnir/",2018-01-02 20:00:06,"Ricerca giocatori","Roma",8,"Player","Roma","RM","Lazio","41,9075000000","12,4900000000"
"d&d","70624",1,"https://www.gdrplayers.it/6-14-ottobre-tomb-of-anihilation-dd-adventurers-league","overlord-padova","Circolo Overlord Padova","https://www.gdrplayers.it/author/overlord-padova/",2017-10-03 20:00:02,"Ricerca giocatori","Padova",0,NA,"Padova","PD","Veneto","45,4091700000","11,8730600000"
"d&d","62691",1,"https://www.gdrplayers.it/62691-2","matteo_","Matteo_","https://www.gdrplayers.it/author/matteo_/",2017-02-17 16:00:41,"Ricerca giocatori",NA,3,"Game Master",NA,NA,NA,NA,NA
"pathfinder","62691",1,"https://www.gdrplayers.it/62691-2","matteo_","Matteo_","https://www.gdrplayers.it/author/matteo_/",2017-02-17 16:00:41,"Ricerca giocatori",NA,3,"Game Master",NA,NA,NA,NA,NA
"7th sea","78029",1,"https://www.gdrplayers.it/7th-sea-cercasi-giocatori-roll20","deadsand","Deadsand","https://www.gdrplayers.it/author/deadsand/",2018-03-14 08:00:11,"Ricerca giocatori",NA,1,"Game Master",NA,NA,NA,NA,NA
"7th sea","72135",1,"https://www.gdrplayers.it/7th-sea-fano-pesaro","numyter","Numyter","https://www.gdrplayers.it/author/numyter/",2017-11-05 16:00:18,"Ricerca giocatori","Pesaro e Urbino",1,"Game Master","Pesaro e Urbino","PU","Marche","43,7380200000","12,6933300000"
"d&d","17992",1,"https://www.gdrplayers.it/a-a-a-cercasi-compagni-di-gioco","virginis-samurai","Virginis samurai","https://www.gdrplayers.it/author/virginis-samurai/",2012-10-22 19:10:56,"Esperienze di gioco, Eventi, Giochi di ruolo, Ricerca giocatori","Ferrara",1,NA,"Ferrara","FE","Emilia-Romagna","44,8419400000","11,6166700000"
"pathfinder","17992",1,"https://www.gdrplayers.it/a-a-a-cercasi-compagni-di-gioco","virginis-samurai","Virginis samurai","https://www.gdrplayers.it/author/virginis-samurai/",2012-10-22 19:10:56,"Esperienze di gioco, Eventi, Giochi di ruolo, Ricerca giocatori","Ferrara",1,NA,"Ferrara","FE","Emilia-Romagna","44,8419400000","11,6166700000"
"sine requie","17992",1,"https://www.gdrplayers.it/a-a-a-cercasi-compagni-di-gioco","virginis-samurai","Virginis samurai","https://www.gdrplayers.it/author/virginis-samurai/",2012-10-22 19:10:56,"Esperienze di gioco, Eventi, Giochi di ruolo, Ricerca giocatori","Ferrara",1,NA,"Ferrara","FE","Emilia-Romagna","44,8419400000","11,6166700000"
"warhammer","17992",1,"https://www.gdrplayers.it/a-a-a-cercasi-compagni-di-gioco","virginis-samurai","Virginis samurai","https://www.gdrplayers.it/author/virginis-samurai/",2012-10-22 19:10:56,"Esperienze di gioco, Eventi, Giochi di ruolo, Ricerca giocatori","Ferrara",1,NA,"Ferrara","FE","Emilia-Romagna","44,8419400000","11,6166700000"
"ad&d","78151",1,"https://www.gdrplayers.it/a-a-a-cercasi-giocatore-per-progetto-in-corso","hardwulf","Hardwulf","https://www.gdrplayers.it/author/hardwulf/",2018-03-16 08:00:40,"Ricerca giocatori","Genova",0,"Game Master","Genova","GE","Liguria","44,4047200000","8,9355600000"
"d&d","78151",1,"https://www.gdrplayers.it/a-a-a-cercasi-giocatore-per-progetto-in-corso","hardwulf","Hardwulf","https://www.gdrplayers.it/author/hardwulf/",2018-03-16 08:00:40,"Ricerca giocatori","Genova",0,"Game Master","Genova","GE","Liguria","44,4047200000","8,9355600000"
"d&d","21718",1,"https://www.gdrplayers.it/a-a-a-cercasi-master-per-sessione-dd-bologna","raafuin","Raafuin","https://www.gdrplayers.it/author/raafuin/",2013-03-13 12:37:26,"Ricerca giocatori","Bologna",0,"Player","Bologna","BO","Emilia-Romagna","44,4955600000","11,3466700000"
"d&d","75436",1,"https://www.gdrplayers.it/a-a-a-dd-in-torino","mayettaya","Mayettaya","https://www.gdrplayers.it/author/mayettaya/",2018-01-18 18:00:35,"Ricerca giocatori","Torino",4,"Player","Torino","TO","Piemonte","45,0661100000","7,6822200000"
"d&d","73143",1,"https://www.gdrplayers.it/a-a-cercasi","dave016","dave016","https://www.gdrplayers.it/author/dave016/",2017-11-24 18:00:43,"Ricerca giocatori","Milano",0,"Game Master","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"d&d","3883",1,"https://www.gdrplayers.it/a-roma-per-dd-o-sine-requie","n3m0","N3m0","https://www.gdrplayers.it/author/n3m0/",2010-12-09 14:41:14,"Ricerca giocatori","Roma",3,NA,"Roma","RM","Lazio","41,9075000000","12,4900000000"
"sine requie","3883",1,"https://www.gdrplayers.it/a-roma-per-dd-o-sine-requie","n3m0","N3m0","https://www.gdrplayers.it/author/n3m0/",2010-12-09 14:41:14,"Ricerca giocatori","Roma",3,NA,"Roma","RM","Lazio","41,9075000000","12,4900000000"
"vampire the masquerade","3883",1,"https://www.gdrplayers.it/a-roma-per-dd-o-sine-requie","n3m0","N3m0","https://www.gdrplayers.it/author/n3m0/",2010-12-09 14:41:14,"Ricerca giocatori","Roma",3,NA,"Roma","RM","Lazio","41,9075000000","12,4900000000"
"d&d","72511",1,"https://www.gdrplayers.it/aaa-cercasi-2-giocatori","uffaffa","uffaffa","https://www.gdrplayers.it/author/uffaffa/",2017-11-14 15:00:40,"Ricerca giocatori","Firenze",0,"Game Master","Firenze","FI","Toscana","43,7744400000","11,2580600000"
"d&d","72887",1,"https://www.gdrplayers.it/aaa-cercasi-3-giocatori-dd-3-5","michael-croce","Michael Croce","https://www.gdrplayers.it/author/michael-croce/",2017-11-17 20:00:14,"Ricerca giocatori","Firenze",10,"Game Master","Firenze","FI","Toscana","43,7744400000","11,2580600000"
"d&d","66412",1,"https://www.gdrplayers.it/aaa-cercasi-avventurieri-esperti-non-dungeonsdragons","artalon","Artalon","https://www.gdrplayers.it/author/artalon/",2017-06-07 16:00:30,"Ricerca giocatori","Brescia",5,"Game Master","Brescia","BS","Lombardia","45,5408300000","10,2205600000"
"warhammer","63562",1,"https://www.gdrplayers.it/aaa-cercasi-giocatore","elkanor","Elkanor","https://www.gdrplayers.it/author/elkanor/",2017-03-10 14:00:20,"Ricerca giocatori","Roma",2,"Game Master","Roma","RM","Lazio","41,9075000000","12,4900000000"
"warhammer","63616",1,"https://www.gdrplayers.it/aaa-cercasi-giocatorei","elkanor","Elkanor","https://www.gdrplayers.it/author/elkanor/",2017-03-11 18:00:13,"Ricerca giocatori","Roma",0,"Game Master","Roma","RM","Lazio","41,9075000000","12,4900000000"
"d&d","70228",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-affidabili-coraggiosi","asmodeus_83","Asmodeus_83","https://www.gdrplayers.it/author/asmodeus_83/",2017-09-25 12:00:53,"Ricerca giocatori","Firenze",6,"Game Master","Firenze","FI","Toscana","43,7744400000","11,2580600000"
"d&d","4192",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-dd-3-5-molfetta-e-paesi-limitrofi","blacksorcerer35","Blacksorcerer35","https://www.gdrplayers.it/author/blacksorcerer35/",2010-12-28 14:27:33,"Ricerca giocatori","Bari",3,"Game Master","Bari","BA","Puglia","41,1291700000","16,8697200000"
"d&d","43260",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-dd-3-5","matteo-benetollo","Aramil","https://www.gdrplayers.it/author/matteo-benetollo/",2014-12-30 09:32:04,"Ricerca giocatori","Padova",2,"Game Master","Padova","PD","Veneto","45,4091700000","11,8730600000"
"d&d","56621",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-dd-milano","satan-claus","Satan Claus","https://www.gdrplayers.it/author/satan-claus/",2016-09-06 16:48:31,"Ricerca giocatori","Milano",3,"Game Master","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"pathfinder","56621",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-dd-milano","satan-claus","Satan Claus","https://www.gdrplayers.it/author/satan-claus/",2016-09-06 16:48:31,"Ricerca giocatori","Milano",3,"Game Master","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"d&d","59978",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-dd-vampire-masquerade-decidere","manez","Denis","https://www.gdrplayers.it/author/manez/",2016-12-01 08:00:00,"Ricerca giocatori","Vicenza",0,"Game Master","Vicenza","VI","Veneto","45,5497200000","11,5486100000"
"vampire the masquerade","59978",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-dd-vampire-masquerade-decidere","manez","Denis","https://www.gdrplayers.it/author/manez/",2016-12-01 08:00:00,"Ricerca giocatori","Vicenza",0,"Game Master","Vicenza","VI","Veneto","45,5497200000","11,5486100000"
"d&d","66006",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-dungeonsdragons","artalon","Artalon","https://www.gdrplayers.it/author/artalon/",2017-05-25 16:00:16,"Ricerca giocatori","Brescia",3,"Game Master","Brescia","BS","Lombardia","45,5408300000","10,2205600000"
"d&d","42835",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-foggia","paulusflavius","iozan","https://www.gdrplayers.it/author/paulusflavius/",2014-12-12 11:51:02,"Ricerca giocatori","Foggia",2,"Game Master","Foggia","FG","Puglia","41,4650000000","15,5450000000"
"pathfinder","42835",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-foggia","paulusflavius","iozan","https://www.gdrplayers.it/author/paulusflavius/",2014-12-12 11:51:02,"Ricerca giocatori","Foggia",2,"Game Master","Foggia","FG","Puglia","41,4650000000","15,5450000000"
"sine requie","42835",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-foggia","paulusflavius","iozan","https://www.gdrplayers.it/author/paulusflavius/",2014-12-12 11:51:02,"Ricerca giocatori","Foggia",2,"Game Master","Foggia","FG","Puglia","41,4650000000","15,5450000000"
"d&d","56704",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-master-dd-3-5-zona-alessandria-piemonte","jarand","Jarand","https://www.gdrplayers.it/author/jarand/",2016-09-09 08:12:34,"Ricerca giocatori","Alessandria",1,"Game Master","Alessandria","AL","Piemonte","44,9141700000","8,6172200000"
"d&d","64699",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-master-nuova-campagna-dd-next-5","william","William_LSK","https://www.gdrplayers.it/author/william/",2017-04-13 12:00:58,"Ricerca giocatori","Vicenza",5,"Game Master","Vicenza","VI","Veneto","45,5497200000","11,5486100000"
"ad&d","28042",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-o-master-zona-firenze","ovino-baldesco","Ovino Baldesco","https://www.gdrplayers.it/author/ovino-baldesco/",2013-09-01 17:45:54,"Ricerca giocatori","Firenze",6,"Game Master","Firenze","FI","Toscana","43,7744400000","11,2580600000"
"d&d","28042",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-o-master-zona-firenze","ovino-baldesco","Ovino Baldesco","https://www.gdrplayers.it/author/ovino-baldesco/",2013-09-01 17:45:54,"Ricerca giocatori","Firenze",6,"Game Master","Firenze","FI","Toscana","43,7744400000","11,2580600000"
"warhammer","61294",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori-warhammer","riky444","riky444","https://www.gdrplayers.it/author/riky444/",2017-01-16 10:00:43,"Ricerca giocatori","Padova",0,"Game Master","Padova","PD","Veneto","45,4091700000","11,8730600000"
"cyberpunk","71669",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori","eglamond","Eglamond","https://www.gdrplayers.it/author/eglamond/",2017-10-26 18:00:28,"Ricerca giocatori","Milano",5,"Game Master","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"d&d","71669",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori","eglamond","Eglamond","https://www.gdrplayers.it/author/eglamond/",2017-10-26 18:00:28,"Ricerca giocatori","Milano",5,"Game Master","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"pathfinder","71669",1,"https://www.gdrplayers.it/aaa-cercasi-giocatori","eglamond","Eglamond","https://www.gdrplayers.it/author/eglamond/",2017-10-26 18:00:28,"Ricerca giocatori","Milano",5,"Game Master","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"d&d","46188",1,"https://www.gdrplayers.it/aaa-cercasi-giocatrice-zona-roma-nord","broly88","Broly88","https://www.gdrplayers.it/author/broly88/",2015-04-21 16:14:36,"Ricerca giocatori","Roma",2,NA,"Roma","RM","Lazio","41,9075000000","12,4900000000"
"pathfinder","46188",1,"https://www.gdrplayers.it/aaa-cercasi-giocatrice-zona-roma-nord","broly88","Broly88","https://www.gdrplayers.it/author/broly88/",2015-04-21 16:14:36,"Ricerca giocatori","Roma",2,NA,"Roma","RM","Lazio","41,9075000000","12,4900000000"
"d&d","72174",1,"https://www.gdrplayers.it/aaa-cercasi-gruppo-dd-3-0-3-5","michael-croce","Michael Croce","https://www.gdrplayers.it/author/michael-croce/",2017-11-06 08:00:22,"Ricerca giocatori","Firenze",0,"Player","Firenze","FI","Toscana","43,7744400000","11,2580600000"
"d&d","73892",1,"https://www.gdrplayers.it/aaa-cercasi-gruppo-dd-5-ed","william","William_LSK","https://www.gdrplayers.it/author/william/",2017-12-10 08:00:28,"Ricerca giocatori","Vicenza",1,"Player","Vicenza","VI","Veneto","45,5497200000","11,5486100000"
"d&d","49887",1,"https://www.gdrplayers.it/aaa-cercasi-gruppo-disperatamente","andre-1988","andre.1988","https://www.gdrplayers.it/author/andre-1988/",2015-10-22 14:04:19,"Ricerca giocatori","Firenze",4,"Player","Firenze","FI","Toscana","43,7744400000","11,2580600000"
"d&d","58913",1,"https://www.gdrplayers.it/aaa-cercasi-gruppo-gioco-ruolo-tavolo","riky444","riky444","https://www.gdrplayers.it/author/riky444/",2016-11-02 20:10:54,"Ricerca giocatori","Padova",7,"Player","Padova","PD","Veneto","45,4091700000","11,8730600000"
