"id","title","authors","book.type","genres","settings","system","awards","edition","year","editions.num","rating","rank","url","img.url","title.abbreviated","main.genre","sub.genre"
1018,"Kromosome","Wolfgang H. Baur","Core Rules","Cyberpunk","Kromosome","Amazing Engine","","TSR",1994,NA,5.11,1154,"https://index.rpg.net/display-entry.phtml?mainid=1018","https://www.rpg.net/pictures/cache/picthumb3947-medium.jpg","kromosome","Cyberpunk","Cyberpunk"
1019,"Time Lord","Peter Darvill-Evans, Ian Marsh","Core Rules","Science Fantasy","Whoverse","Generic / One-Off System 0","","Virgin Publishing Ltd.",1991,NA,5.48,858,"https://index.rpg.net/display-entry.phtml?mainid=1019","https://www.rpg.net/pictures/cache/picthumb6701-medium.jpg","time lord","Science Fantasy","Science Fantasy"
1020,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,5.67,NA,"https://index.rpg.net/display-entry.phtml?mainid=1020","https://www.rpg.net/pictures/show-pic.phtml?picid=29200","star ace",NA,NA
10207,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,5.11,NA,"https://index.rpg.net/display-entry.phtml?mainid=10207",NA,NA,NA,NA
1021,"A Game Of Thrones","David Lyons, Mark C. MacKinnon","Core Rules","Fantasy","Westeros",NA,"ENnie, ENnie, ENnie, Outie, ENnie, Weird GameWyrd, Ogre's Choice, Grog d'Or",NA,NA,2,7,103,"https://index.rpg.net/display-entry.phtml?mainid=1021","https://www.rpg.net/pictures/cache/picthumb1272-medium.jpg","game of thrones","Fantasy","Fantasy"
10226,"Caeron 3000","Dorothy Scott, Thomas Scott, Mark Sinyard","Core Rules","Science Fiction","Caeron 3000",NA,"",NA,NA,2,NA,1506,"https://index.rpg.net/display-entry.phtml?mainid=10226","https://www.rpg.net/pictures/cache/picthumb12157-medium.jpg","caeron 3000","Science Fiction","Science Fiction"
1023,"OGL Horror","Gareth Hanrahan","Core Rules","Horror","Modern","OGL Horror","Outie","Mongoose Publishing",2003,NA,4.89,2424,"https://index.rpg.net/display-entry.phtml?mainid=1023","https://www.rpg.net/pictures/cache/picthumb2725-medium.jpg","ogl horror","Horror","Horror"
10231,"Full Clip: Hong Kong Action","Todd Downing, James Stubbs","Core Rules","Action / Crime","Generic","1PG","","Deep7",2003,NA,4.95,2403,"https://index.rpg.net/display-entry.phtml?mainid=10231","https://www.rpg.net/pictures/cache/picthumb28838-medium.jpg","full clip: hong kong action","Action","Crime"
10242,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,5,NA,"https://index.rpg.net/display-entry.phtml?mainid=10242",NA,"starfleet voyages",NA,NA
10257,"Encyclopedia of Angels","Anne Brown, Jon Cassie, Jarad Fennell, Kurt Hausheer, Tim Kidwell, Todd Laing, Tim O'Brien, Trevis Powell","Core Rules","Generic","Generic","d20 3","","Fast Forward Entertainment",2003,NA,5.37,917,"https://index.rpg.net/display-entry.phtml?mainid=10257","https://www.rpg.net/pictures/cache/picthumb12065-medium.jpg","encyclopedia of angels","Generic","Generic"
10265,"World of Darkness: Innocents","Jess Hartley, Howard Ingham, Myranda Kalis, Ellen P. Kiley, James Kiley, Mike Lee, Michelle Lyons, Matthew McFarland","Core Rules","Horror","Chronicles of Darkness","Storytelling System","","White Wolf Publishing",2008,NA,6.1,392,"https://index.rpg.net/display-entry.phtml?mainid=10265","https://www.rpg.net/pictures/cache/picthumb12079-medium.jpg","world of darkness innocents","Horror","Horror"
10292,"Dungeons & Dragons 4th Edition Player's Handbook","Andy Collins, Rob Heinsoo, James Wyatt","Core Rules","Fantasy","Generic",NA,"Diana Jones, ENnie, ENnie","Dungeons & Dragons 4th Edition Player's Handbook",NA,2,5.97,467,"https://index.rpg.net/display-entry.phtml?mainid=10292","https://www.rpg.net/pictures/cache/picthumb12112-medium.jpg","dungeons dragons 4th edition player s handbook","Fantasy","Fantasy"
10293,"Dungeons & Dragons 4th Edition Dungeon Master's Guide","James Wyatt","Core Rules","Fantasy","Points of Light",NA,"","Dungeons & Dragons 4th Edition Dungeon Master's Guide",NA,2,6.25,325,"https://index.rpg.net/display-entry.phtml?mainid=10293","https://www.rpg.net/pictures/cache/picthumb12113-medium.jpg","dungeons dragons 4th edition dungeon master s guide","Fantasy","Fantasy"
10299,"Dungeons & Dragons 4th Edition Core Rulebooks","Andy Collins, Rob Heinsoo, Michael Mearls, Stephen Schubert, James Wyatt","Core Rules","Fantasy","Generic","Dungeons & Dragons 4","Golden Geek RPG, Grog d'Or, UK Games Expo","Dungeons & Dragons 4th Edition Core Rulebooks",NA,NA,6.77,147,"https://index.rpg.net/display-entry.phtml?mainid=10299","https://www.rpg.net/pictures/cache/picthumb12120-medium.jpg","dungeons dragons 4th edition core rulebooks","Fantasy","Fantasy"
103,"Dogs in the Vineyard","Vincent Baker","Core Rules","Fantasy / Historical","19th century","Dogs in the Vineyard","Indie RPG, Indie RPG, Indie RPG, Indie RPG, Indie RPG, Diana Jones, Outie, Weird GameWyrd","Lumpley Games",2005,NA,7.32,45,"https://index.rpg.net/display-entry.phtml?mainid=103","https://www.rpg.net/pictures/cache/picthumb1195-medium.jpg","dogs in the vineyard","Fantasy","Historical"
10317,"Mutant Future","Ryan Denison, Daniel Proctor","Core Rules","Post-Apocalypse","Mutant Future",NA,"Indie RPG, Indie RPG",NA,NA,4,5.69,659,"https://index.rpg.net/display-entry.phtml?mainid=10317","https://www.rpg.net/pictures/cache/picthumb12137-medium.jpg","mutant future","Post-Apocalypse","Post-Apocalypse"
10370,"Open Core Core Rules","Christopher Helton, Jonathan M. Thompson","Core Rules","Generic","Generic","Open Core","","Battlefield Press",2005,NA,5.31,967,"https://index.rpg.net/display-entry.phtml?mainid=10370","https://www.rpg.net/pictures/cache/picthumb12224-medium.jpg","open core core rules","Generic","Generic"
10371,"Luftwaffe 1946 Roleplaying Game","Jonathan M. Thompson","Core Rules","Alternate History","World War II","Open Core","","Battlefield Press",2003,NA,NA,1382,"https://index.rpg.net/display-entry.phtml?mainid=10371","https://www.rpg.net/pictures/cache/picthumb12225-medium.jpg","luftwaffe 1946","Alternate History","Alternate History"
10372,"Eric Flint's 1632 Resource Guide and Role Playing Game","Jonathan M. Thompson","Core Rules","Alternate History","1632verse","Action! System","","Battlefield Press",2004,NA,NA,1418,"https://index.rpg.net/display-entry.phtml?mainid=10372","https://www.rpg.net/pictures/cache/picthumb12226-medium.jpg","1632","Alternate History","Alternate History"
10373,"Beyond Mortal Men Extension","Christopher Helton","Core Rules","Generic","Generic","Open Core","","Battlefield Press",2005,NA,NA,1740,"https://index.rpg.net/display-entry.phtml?mainid=10373","https://www.rpg.net/pictures/cache/picthumb12227-medium.jpg","beyond mortal men extension","Generic","Generic"
10377,"The Metabarons","Fred Le Berre, Julien Blondel, Alexandro Jodorowsky, Kurt McClung, Scott Palter, Marc Prudhomme, Peter Schweighofer","Core Rules","Science Fantasy","The Jodoverse",NA,"Grog d'Or",NA,NA,2,5.86,540,"https://index.rpg.net/display-entry.phtml?mainid=10377","https://www.rpg.net/pictures/cache/picthumb12230-medium.jpg","metabarons","Science Fantasy","Science Fantasy"
1038,"Interstellar Elite Combat","David E. Miller","Core Rules","Science Fiction","Far Future","Interstellar Elite Combat","","Game Masters Associated",1991,NA,4.97,2380,"https://index.rpg.net/display-entry.phtml?mainid=1038","https://www.rpg.net/pictures/cache/picthumb9802-medium.jpg","interstellar elite combat","Science Fiction","Science Fiction"
10389,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,5.11,NA,"https://index.rpg.net/display-entry.phtml?mainid=10389",NA,"pie shop",NA,NA
1039,"Tales From The Floating Vagabond","Nick Atlas, Lee Garvin, John Huff","Core Rules","Science Fiction / Humor","Generic","Tales From the Floating Vagabond","","Avalon Hill",1991,NA,5.46,870,"https://index.rpg.net/display-entry.phtml?mainid=1039","https://www.rpg.net/pictures/cache/picthumb4171-medium.jpg","tales from the floating vagabond","Science Fiction","Humor"
10405,"Castlemourn Quickstart","Cam Banks, Jamie Chambers, Ed Greenwood, Clark Valentine","Core Rules","Fantasy","Castlemourn","Cortex System","","Margaret Weis Productions",2008,NA,NA,1386,"https://index.rpg.net/display-entry.phtml?mainid=10405","https://www.rpg.net/pictures/cache/picthumb18038-medium.jpg","castlemourn","Fantasy","Fantasy"
10406,"A Song of Ice and Fire Roleplaying Quickstart","Steve Kenson, Robert J. Schwalb, Jesse Scoble","Core Rules","Fantasy","Westeros","A Song of Ice and Fire","ENnie","Green Ronin Publishing",2008,NA,5.46,871,"https://index.rpg.net/display-entry.phtml?mainid=10406","https://www.rpg.net/pictures/cache/picthumb12288-medium.jpg","song of ice and fire","Fantasy","Fantasy"
10407,"Heirs to Olympia","Kris Havlak","Core Rules","Fantasy","Olympia","Heirs to Olympia","","Countess Games",2008,NA,NA,1390,"https://index.rpg.net/display-entry.phtml?mainid=10407","https://www.rpg.net/pictures/cache/picthumb12289-medium.jpg","heirs to olympia","Fantasy","Fantasy"
10408,"Traveller Book 0: An Introduction to Traveller","Gareth Hanrahan","Core Rules","Science Fiction","Traveller",NA,"",NA,NA,2,5.16,1112,"https://index.rpg.net/display-entry.phtml?mainid=10408","https://www.rpg.net/pictures/cache/picthumb12287-medium.jpg","traveller book 0 an introduction to traveller","Science Fiction","Science Fiction"
10410,"S4: Lost Caverns","Phil Thompson","Core Rules","Fantasy","Garweeze Wurld","HackMaster 4","","Kenzer & Company",2004,NA,NA,1721,"https://index.rpg.net/display-entry.phtml?mainid=10410","https://www.rpg.net/pictures/cache/picthumb12276-medium.jpg","s4: lost caverns","Fantasy","Fantasy"
10422,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,5.05,NA,"https://index.rpg.net/display-entry.phtml?mainid=10422",NA,"far towers",NA,NA
10424,"Microcosm","Levi Kornelsen","Core Rules","Generic","Generic","Generic / One-Off System","Indie RPG","Amagi Games",2008,NA,5,1308,"https://index.rpg.net/display-entry.phtml?mainid=10424","https://www.rpg.net/pictures/cache/picthumb14702-medium.jpg","microcosm","Generic","Generic"
10431,"In Dark Alleys","Brian St. Claire-King","Core Rules","Modern / Horror","In Dark Alleys","ORC","","Vajra Enterprises",2006,NA,6.6,192,"https://index.rpg.net/display-entry.phtml?mainid=10431","https://www.rpg.net/pictures/cache/picthumb27021-medium.jpg","dark alleys","Modern","Horror"
10433,"StarSIEGE: Event Horizon Introductory Manual","Josh Chewning","Core Rules","Science Fiction","Generic","StarSIEGE","","Troll Lord Games",2008,NA,4.8,2465,"https://index.rpg.net/display-entry.phtml?mainid=10433","https://www.rpg.net/pictures/cache/picthumb12315-medium.jpg","starsiege event horizon introductory manual","Science Fiction","Science Fiction"
10434,"Quick Start Cthulhu","Ben Monroe, Sandy Petersen","Core Rules","Horror / Cthulhu","Generic",NA,"",NA,NA,2,4.87,2437,"https://index.rpg.net/display-entry.phtml?mainid=10434","https://www.rpg.net/pictures/cache/picthumb12314-medium.jpg","quick start cthulhu","Horror","Cthulhu"
10438,"Septimus Quickstart","Bill Coffin","Core Rules","Science Fiction","Septimus","d6 System 2","","West End Games",2007,NA,NA,1384,"https://index.rpg.net/display-entry.phtml?mainid=10438","https://www.rpg.net/pictures/cache/picthumb12320-medium.jpg","septimus","Science Fiction","Science Fiction"
10439,"Dungeons & Dragons Adventure Game","Jason Carl, Andy Collins, David Noonan, Jonathan Tweet","Core Rules","Fantasy / Sword & Sorcery","Greyhawk","Dungeons & Dragons 3","","Wizards of the Coast",2000,NA,4.81,2458,"https://index.rpg.net/display-entry.phtml?mainid=10439","https://www.rpg.net/pictures/cache/picthumb14073-medium.jpg","dungeons dragons adventure game","Fantasy","Sword & Sorcery"
10460,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"https://index.rpg.net/display-entry.phtml?mainid=10460",NA,NA,NA,NA
10469,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"https://index.rpg.net/display-entry.phtml?mainid=10469",NA,"new gods of mankind",NA,NA
10470,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"https://index.rpg.net/display-entry.phtml?mainid=10470",NA,"heroes forever",NA,NA
10489,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,5.18,NA,"https://index.rpg.net/display-entry.phtml?mainid=10489",NA,"prophecy",NA,NA
10497,"Hot War","Malcolm Craig","Core Rules","Alternate History","1960s",NA,"ENnie, ENnie, Indie RPG, Indie RPG, Indie RPG, Indie RPG",NA,NA,3,6.85,135,"https://index.rpg.net/display-entry.phtml?mainid=10497","https://www.rpg.net/pictures/cache/picthumb12418-medium.jpg","hot war","Alternate History","Alternate History"
1051,"Torg","Greg Gorden, Douglas Kaufman, Bill Slavicsek","Core Rules","Multigenre","The Possibility Wars",NA,"",NA,NA,3,6.67,174,"https://index.rpg.net/display-entry.phtml?mainid=1051","https://www.rpg.net/pictures/cache/picthumb1208-medium.jpg","torg","Multigenre","Multigenre"
10517,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"https://index.rpg.net/display-entry.phtml?mainid=10517",NA,"complete warlock",NA,NA
10520,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,4.95,NA,"https://index.rpg.net/display-entry.phtml?mainid=10520",NA,"knights of the round table",NA,NA
10521,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"https://index.rpg.net/display-entry.phtml?mainid=10521",NA,"uuhraah!",NA,NA
10551,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,5.91,NA,"https://index.rpg.net/display-entry.phtml?mainid=10551",NA,NA,NA,NA
10552,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,6.22,NA,"https://index.rpg.net/display-entry.phtml?mainid=10552",NA,"everlasting",NA,NA
10553,"The Everlasting: Book of the Fantastical","Steven Brown","Core Rules","Fantasy / Modern","Modern","Everlasting","","Visionary Entertainment Studio",2003,NA,5.75,629,"https://index.rpg.net/display-entry.phtml?mainid=10553","https://www.rpg.net/pictures/show-pic.phtml?picid=25745","the everlasting book of the fantastical","Fantasy","Modern"
10558,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,4.95,NA,"https://index.rpg.net/display-entry.phtml?mainid=10558",NA,"chosen",NA,NA
10579,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,5.16,NA,"https://index.rpg.net/display-entry.phtml?mainid=10579",NA,"the power",NA,NA
10584,"3:16 Carnage Amongst The Stars","Gregor Hutton","Core Rules","Science Fiction","Far Future",NA,"ENnie, Indie RPG, Indie RPG, Indie RPG, Indie RPG, UK Games Expo, Ronny",NA,NA,3,6.55,209,"https://index.rpg.net/display-entry.phtml?mainid=10584","https://www.rpg.net/pictures/cache/picthumb18963-medium.jpg","3:16","Science Fiction","Science Fiction"
10593,"The Squared Circle: Wrestling RPG","Eric Moreau","Core Rules","Sports / Wrestling","Wrestling Federation",NA,"",NA,NA,2,5.11,1158,"https://index.rpg.net/display-entry.phtml?mainid=10593","https://www.rpg.net/pictures/cache/picthumb13720-medium.jpg","squared circle","Sports","Wrestling"
106,"Legend of the Five Rings","Shawn Carman, Seth Mason, Fred Wan, John Wick, Rich Wulf, Brian Yoon","Core Rules","Fantasy / Oriental","Rokugan",NA,"ENnie, Origins Awards, ENnie, Grog d'Or, Golden Geek RPG, MTV Geek, ENnie, ENnie, ENnie, Golden Geek RPG, Golden Geek RPG",NA,NA,5,7.45,25,"https://index.rpg.net/display-entry.phtml?mainid=106","https://www.rpg.net/pictures/cache/picthumb53-medium.jpg","legend of the five rings","Fantasy","Oriental"
10613,"Starblazer Adventures","Chris Birch, David Donachie, Stuart Newman, Douglas Nicol","Core Rules","Science Fiction","Starblazer Adventures","Starblazer","ENnie, ENnie, ENnie, Indie RPG, Indie RPG, Indie RPG","Cubicle 7 Entertainment",2008,NA,7.61,17,"https://index.rpg.net/display-entry.phtml?mainid=10613","https://www.rpg.net/pictures/cache/picthumb12570-medium.jpg","starblazer","Science Fiction","Science Fiction"
10621,"Desolation","Jamie Gooch, Stephen Herron, Matt Somers","Core Rules","Fantasy / Post-Apocalyptic","Scondera","Ubiquity","Indie RPG, Indie RPG, Indie RPG","Greymalkin Designs",2008,NA,6.09,396,"https://index.rpg.net/display-entry.phtml?mainid=10621","https://www.rpg.net/pictures/show-pic.phtml?picid=11333","desolation","Fantasy","Post-Apocalyptic"
10623,"Ghosts of Albion Roleplaying Game","Amber Benson, Timothy S. Brannan, Christopher Golden, M. Alexander Jurkat","Core Rules","Fantasy / Modern","Victorian Era","Unisystem / Cinematic","","Eden Studios",2008,NA,6.28,311,"https://index.rpg.net/display-entry.phtml?mainid=10623","https://www.rpg.net/pictures/show-pic.phtml?picid=29210","ghosts of albion","Fantasy","Modern"
10624,"Ghostories","Brett M. Bernstein, Peter C. Spahn","Core Rules","Horror","Generic","genreDiversion i","","Precis Intermedia (P.I.G.)",2008,NA,NA,1653,"https://index.rpg.net/display-entry.phtml?mainid=10624","https://www.rpg.net/pictures/cache/picthumb12593-medium.jpg","ghostories","Horror","Horror"
10635,"Hunter: The Vigil","Russell Bailey, Rick Chillot, Aaron Debmbski-Bowden, Alex Greene, Jess Hartley, Martin Henley, Wood Ingham, Mike Lee, Matthew McFarland, Travis Stout, Chuck Wendig, Stewart Wilson","Core Rules","Horror","Chronicles of Darkness","Hunter: The Vigil","ENnie, ENnie, ENnie","White Wolf Publishing",2008,NA,6.25,330,"https://index.rpg.net/display-entry.phtml?mainid=10635","https://www.rpg.net/pictures/cache/picthumb12598-medium.jpg","hunter the vigil","Horror","Horror"
10637,"Gamma World Game Master's Guide","Bruce Baugh, Werner Hager, Lizard, Doug Oglesby, Greg Stolze, Chad Underkoffler","Core Rules","Post-Apocalypse","Gamma World","d20 Modern","","White Wolf Publishing: Sword & Sorcery",2004,NA,5.05,1254,"https://index.rpg.net/display-entry.phtml?mainid=10637","https://www.rpg.net/pictures/cache/picthumb12602-medium.jpg","gamma world game master s guide","Post-Apocalypse","Post-Apocalypse"
10655,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"https://index.rpg.net/display-entry.phtml?mainid=10655",NA,"solipsist",NA,NA
10659,"The Edge of Midnight GM's Screen",NA,"Core Rules","Noir / Fantasy","Unified Commonwealth / 1940s","The Edge Of Midnight","","Studio 2",2006,NA,NA,1825,"https://index.rpg.net/display-entry.phtml?mainid=10659","https://www.rpg.net/pictures/cache/picthumb12640-medium.jpg","the edge of midnight gm s screen","Noir","Fantasy"
1069,"Teenage Mutant Ninja Turtles & Other Strangeness","Erick Wujcik","Core Rules","Super Hero / Vigilante","Teenage Mutant Ninja Turtles",NA,"",NA,NA,3,6.12,372,"https://index.rpg.net/display-entry.phtml?mainid=1069","https://www.rpg.net/pictures/cache/picthumb1434-medium.jpg","teenage mutant ninja turtles","Super Hero","Vigilante"
107,"Over the Edge","Robin D. Laws, Jonathan Tweet","Core Rules","Conspiracy","Al Amarja",NA,"",NA,NA,3,7.78,8,"https://index.rpg.net/display-entry.phtml?mainid=107","https://www.rpg.net/pictures/cache/picthumb45-medium.jpg","over the edge","Conspiracy","Conspiracy"
10711,"Bestial Acts","Greg Costikyan","Core Rules","Horror / Psychological","Modern","Generic / One-Off System","","Self-published",1993,NA,4.75,2486,"https://index.rpg.net/display-entry.phtml?mainid=10711","https://www.rpg.net/pictures/cache/picthumb12721-medium.jpg","bestial acts","Horror","Psychological"
10712,"The Princess Game","Colin Fredericks","Core Rules","Fantasy","Generic","Generic / One-Off System","Indie RPG, Indie RPG","Valent Games",2007,NA,5.93,491,"https://index.rpg.net/display-entry.phtml?mainid=10712","https://www.rpg.net/pictures/cache/picthumb12725-medium.jpg","princess game","Fantasy","Fantasy"
10713,"The Dead","Kreg Mosier","Core Rules","Horror / Zombie","Modern","Generic / One-Off System","Indie RPG","Self-published",2007,NA,5.75,628,"https://index.rpg.net/display-entry.phtml?mainid=10713","https://www.rpg.net/pictures/cache/picthumb12726-medium.jpg","the dead","Horror","Zombie"
10714,"Fae Noir","Justin Bow","Core Rules","Noir / Fantasy","1920s","Fae Noir","Indie RPG","Green Fairy Games",2007,NA,4.56,2519,"https://index.rpg.net/display-entry.phtml?mainid=10714","https://www.rpg.net/pictures/cache/picthumb12729-medium.jpg","fae noir","Noir","Fantasy"
1072,"Warlords of the Accordlands: The Master Codex","Jeff Ibach","Core Rules","Fantasy","Accordlands","d20 3.5","ENnie, ENnie, ENnie","AEG",2006,NA,5.2,1079,"https://index.rpg.net/display-entry.phtml?mainid=1072","https://www.rpg.net/pictures/cache/picthumb5212-medium.jpg","warlords of the accordlands","Fantasy","Fantasy"
1074,"Stormbringer","Ken St. Andre, John B. Monroe, Steve Perrin","Core Rules","Fantasy","Young Kingdoms",NA,"",NA,NA,5,5.76,620,"https://index.rpg.net/display-entry.phtml?mainid=1074","https://www.rpg.net/pictures/cache/picthumb192-medium.jpg","stormbringer","Fantasy","Fantasy"
1077,"Ghostbusters","Sandy Petersen, Greg Stafford, Lynn Willis","Core Rules","Science Fiction / Humor","Modern",NA,"Origins Awards",NA,NA,2,7.12,79,"https://index.rpg.net/display-entry.phtml?mainid=1077","https://www.rpg.net/pictures/show-pic.phtml?picid=29210","ghostbusters","Science Fiction","Humor"
10771,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,5.16,NA,"https://index.rpg.net/display-entry.phtml?mainid=10771",NA,"warcosm",NA,NA
