"Start URL","Titolo","Author","Genre","Setting","EditionInfo","System","Awards","OtherTags"
"http://index.rpg.net/display-entry.phtml?mainid=4584","Chainmail","Gary Gygax, Jeff Perren","Fantasy","Generic","TSR","Chainmail 3","",""
"http://index.rpg.net/display-entry.phtml?mainid=67","Empire of the Petal Throne","M.A.R. Barker","Fantasy","Tékumel","TSR","Empire of the Petal Throne","Strategists' Club Award (Best New Game, 1975)",""
"http://index.rpg.net/display-entry.phtml?mainid=1532","En Garde!","Frank Chadwick, Darryl Hany, John Harshman, Loren K. Wiseman","Pulp / Swashbuckling","17th century Europe","GDW","En Garde!","",""
"http://index.rpg.net/display-entry.phtml?mainid=2730","Bunnies and Burrows","Scott Robinson, B. Dennis Sustare","Animal","Generic","Fantasy Games Unlimited","Bunnies & Burrows","",""
"http://index.rpg.net/display-entry.phtml?mainid=2046","Monsters! Monsters!","Ken St. Andre","Fantasy / Humor","Generic","Metagaming","Tunnels & Trolls 2","",""
"http://index.rpg.net/display-entry.phtml?mainid=4093","Starfaring","Ken St. Andre","Science Fiction / Humor","Generic","Flying Buffalo","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=10521","Uuhraah!","Bob King","Humor","Prehistoric","Blackhawk Games","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=10520","Knights of the Round Table","Phil Edgren","Fantasy","Arthurian Britain","Little Soldier Games","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=5056","Metamorphosis Alpha","James M. Ward","Science Fiction","Starship Warden","TSR","Metamorphosis Alpha","",""
"http://index.rpg.net/display-entry.phtml?mainid=69","Traveller","Marc W. Miller","Science Fiction","Generic","GDW","Traveller","Origins Awards (Hall of Fame, 1996)",""
"http://index.rpg.net/display-entry.phtml?mainid=6210","The Realm of Yolmi","Ken Black, Marshall Rose","Science Fiction","Generic","West Coast Games","The Realm of Yolmi","",""
"http://index.rpg.net/display-entry.phtml?mainid=15461","Space Quest","Paul Hume, George Nyhen","Science Fiction","Generic","Tyr Gamemakers","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=14606","Professional Wrestling","","Action / Martial Arts","Modern","Off The Wall Games","","",""
"http://index.rpg.net/display-entry.phtml?mainid=3366","Bifrost Volume 1: Faerie","G Highley, S Johnson, K Minear, K White","Fantasy","Generic","Davco, UK","Bifrost 0","",""
"http://index.rpg.net/display-entry.phtml?mainid=5330","Flash Gordon and the Warriors of Mongo","Scott Bizar, Lin Carter","Science Fiction","Mongo","Fantasy Games Unlimited","Generic / One-Off System 0","",""
"http://index.rpg.net/display-entry.phtml?mainid=5981","Superhero: 2044","Donald Saxman","Super Hero","2044 Place: Pacific Ocean Time: 2040s, 21st century","Gamescience","Superhero 2044 2","","Group: super heroes"
"http://index.rpg.net/display-entry.phtml?mainid=500","RuneQuest","Steve Henderson, Warren James, Charlie Krank, Steve Perrin, Ken Rolston, Greg Stafford, Ray Turney, Lynn Willis","Fantasy","Generic","Chaosium","RuneQuest","Strategists' Club Award (Outstanding Miniatures Rules, 1978) Pen & Paper (RPG Hall of Fame Runner-Up, 2003)",""
"http://index.rpg.net/display-entry.phtml?mainid=126","AD&D First Edition Players Handbook","Gary Gygax","Fantasy","Generic","TSR","AD&D","",""
"http://index.rpg.net/display-entry.phtml?mainid=4412","Starships & Spacemen","Leonard H. Kanterman","Science Fiction","Generic","Fantasy Games Unlimited","Starships & Spacemen","",""
"http://index.rpg.net/display-entry.phtml?mainid=7505","John Carter, Warlord of Mars","Michael S. Matheny","Science Fantasy","Barsoom","Heritage Models","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=10517","The Complete Warlock","Dave Clark, Robert Cowan, Kenneth M. Dahl, Nick Smith","Fantasy","Generic","Balboa Game Company","D&D / Original","",""
"http://index.rpg.net/display-entry.phtml?mainid=8378","Simian Conquest","Marshall Rose , Knight Norman","Science Fiction","Generic","ASP","","",""
"http://index.rpg.net/display-entry.phtml?mainid=7858","Star Trek: Adventure Gaming in the Final Frontier","Michael Scott Kurtick","Science Fiction","Star Trek","Heritage Models","Star Patrol 1.5","",""
"http://index.rpg.net/display-entry.phtml?mainid=903","Tunnels & Trolls","Ken St. Andre","Fantasy","Generic","Flying Buffalo","Tunnels & Trolls 5","",""
"http://index.rpg.net/display-entry.phtml?mainid=6125","The Ysgarth Rule System","David F. Nalle","Fantasy","Generic","Ragnarok Enterprises","Ysgarth","",""
"http://index.rpg.net/display-entry.phtml?mainid=9414","Ironhedge Manifesto","John Brooke","Fantasy","Ironworld","Empire Wargames","Ironhedge","",""
"http://index.rpg.net/display-entry.phtml?mainid=1391","Gangster!","Nick Marinacci, Pete Petrone","Historical","Modern","Fantasy Games Unlimited","Generic / One-Off System 0","",""
"http://index.rpg.net/display-entry.phtml?mainid=1336","In The Labyrinth","Steve Jackson","Fantasy","Generic","Metagaming","The Fantasy Trip 2","",""
"http://index.rpg.net/display-entry.phtml?mainid=5013","DragonQuest","Eric Goldberg, Gerard Christopher Klug, David J. Ritchie, Edward J. Wood","Fantasy","DragonQuest","SPI","DragonQuest","Origins Awards (Best Role-Playing Rules, 1980)",""
"http://index.rpg.net/display-entry.phtml?mainid=5213","Thieves' Guild","Kerry Lloyd, Richard Meyer","Fantasy","World of Haven","Gamelords","Thieves' Guild","",""
"http://index.rpg.net/display-entry.phtml?mainid=651","Basic Role-Playing","Greg Stafford, Lynn Willis","Generic","Generic","Chaosium","BRP","",""
"http://index.rpg.net/display-entry.phtml?mainid=7913","The Lords of Underearth","Keith Gross","Fantasy","Underearth","Metagaming","The Fantasy Trip 3","",""
"http://index.rpg.net/display-entry.phtml?mainid=2647","Arms Law","S. Coleman Charlton, Karl H. Fischer, Peter C. Fenlon Jr.","Fantasy","Generic","I.C.E.","Rolemaster","",""
"http://index.rpg.net/display-entry.phtml?mainid=6474","Star Patrol","Michael Scott Kurtick, Rockland Russo","Science Fiction","Generic","Gamescience","Star Patrol 2","",""
"http://index.rpg.net/display-entry.phtml?mainid=1871","Skull & Crossbones","Anthony LeBoutillier, Gerald D. Seypura","Pulp / Swashbuckling","Generic","Fantasy Games Unlimited","Skull and Crossbones 0","",""
"http://index.rpg.net/display-entry.phtml?mainid=6459","Odysseus","Marshall T. Rose","Fantasy / Historical","Ancient Greece","Fantasy Games Unlimited","Odysseus","",""
"http://index.rpg.net/display-entry.phtml?mainid=6473","The Castle Perilous","James Sheldon","Fantasy","Generic","Westwind Simulations","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=18268","Beasts, Men & Gods","Bill Underwood","Fantasy","Generic","Imagination Unlimited / The Game Masters","Beasts, Men & Gods","",""
"http://index.rpg.net/display-entry.phtml?mainid=2214","Top Secret: Espionage Role Playing Game","Merle M. Rasmussen","Espionage","Modern","TSR","Top Secret","",""
"http://index.rpg.net/display-entry.phtml?mainid=7536","Heroes of Olympus","B. Dennis Sustare","Fantasy","Ancient Greece","Task Force Games","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=4423","Bushido","Bob Charrette, Paul Hume","Oriental","Feudal Japan","Fantasy Games Unlimited","Bushido 2","",""
"http://index.rpg.net/display-entry.phtml?mainid=4499","Aftermath!","Bob Charrette, Paul Hume","Post-Apocalypse","Earth","Fantasy Games Unlimited","Aftermath","",""
"http://index.rpg.net/display-entry.phtml?mainid=7599","The Arduin Trilogy","David A. Hargrave","Fantasy","Khaas","Grimoire Games","Arduin","",""
"http://index.rpg.net/display-entry.phtml?mainid=5020","Merc","Paul D. Baader, Walter Mark, Lawrence Sangee","War","Modern","Fantasy Games Unlimited","Merc","",""
"http://index.rpg.net/display-entry.phtml?mainid=4407","Land of the Rising Sun","Lee Gold","Fantasy / Oriental","Feudal Japan","Fantasy Games Unlimited","Chivalry & Sorcery","",""
"http://index.rpg.net/display-entry.phtml?mainid=6515","Star Rovers","David A. Hargrave, Carole Rode Hoffman, Charles Hoffman, Dennis Huey, Steven Lortz, Nevile Stocken","Science Fiction","Generic","Archive","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=5999","The Mechanoid Invasion","Kevin Siembieda","Science Fiction","Mechanoids","Palladium Books","Megaversal","",""
"http://index.rpg.net/display-entry.phtml?mainid=7896","Wild West","Anthony LeBoutillier, Gerald D. Seypura","Western","19th century","Fantasy Games Unlimited","Wild West","",""
"http://index.rpg.net/display-entry.phtml?mainid=7739","Melanda: Land of Mystery","John M. Corradin, Lee C. McCormick","Fantasy","Generic","Wilmark Dynasty","Melanda","",""
"http://index.rpg.net/display-entry.phtml?mainid=7537","The Spawn of Fashan","Kirby Lee Davis","Fantasy","Generic","The Games of Fashan","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=1749","Swordbearer","Arnold Hendrick, B. Dennis Sustare","Fantasy","Generic","Heritage USA","Swordbearer","",""
"http://index.rpg.net/display-entry.phtml?mainid=1381","Villains and Vigilantes","Jeff Dee, Jack Herman","Super Hero","Generic","Fantasy Games Unlimited","Villains and Vigilantes 2","",""
"http://index.rpg.net/display-entry.phtml?mainid=5012","GangBusters","Mark Acres, Al Hammack, David C. Sutherland III, Harold Johnson, Rick Krebs, Tom Moldvay, David J. Ritchie","Pulp","1920s","TSR","GangBusters","",""
"http://index.rpg.net/display-entry.phtml?mainid=2649","Rolemaster","Terry K. Amthor, S. Coleman Charlton, Leonard Cook, Karl H. Fischer, Peter C. Fenlon Jr., Bruce R. Neidlinger","Generic","Generic","I.C.E.","Rolemaster","",""
"http://index.rpg.net/display-entry.phtml?mainid=4415","Daredevils","Bob Charrette, Paul Hume","Pulp","1930s","Fantasy Games Unlimited","Daredevils","",""
"http://index.rpg.net/display-entry.phtml?mainid=3993","Behind Enemy Lines","William H. Keith Jr.","War","World War II","FASA Corporation","Behind Enemy Lines","Origins Awards (Best Role-Playing Rules, 1982)",""
"http://index.rpg.net/display-entry.phtml?mainid=1185","Worlds of Wonder","Steve Henderson, Gordon Monson, Steve Perrin, Greg Stafford, Lynn Willis","Generic","Generic","Chaosium","BRP","",""
"http://index.rpg.net/display-entry.phtml?mainid=2648","Claw Law","Terry K. Amthor, S. Coleman Charlton, Leonard Cook, Peter C. Fenlon Jr., Bruce R. Neidlinger","Fantasy","Generic","I.C.E.","Rolemaster","",""
"http://index.rpg.net/display-entry.phtml?mainid=7432","Droids","Neil Patrick Moore","Science Fiction","Generic","Intergral Games","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=7914","Dragons of Underearth","Keith Gross","Fantasy","Underearth","Metagaming","The Fantasy Trip 3","",""
"http://index.rpg.net/display-entry.phtml?mainid=10242","Starfleet Voyages","Michael Scott Kurtick","Science Fiction","Star Trek","Terra Games","Star Patrol 2.5","",""
"http://index.rpg.net/display-entry.phtml?mainid=5987","Supervillains","R. Vance Buck, Rick Register","Super Hero","Generic","Task Force Games","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=6523","Pirates and Plunder","Michael S. Matheny","Pulp / Swashbuckling","Generic","Yaquinto","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=5341","Heroic Fantasy","","Fantasy","Generic","Flying Buffalo","PBM / One-Off","",""
"http://index.rpg.net/display-entry.phtml?mainid=7915","Field Guide to Encounters","Dragon's Byte","Fantasy","Generic","Judges Guild","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=6786","Phase VII","Dennis Drew II","Science Fiction","Generic","Cheshire Games","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=14617","Neighborhood","","Modern","Generic","Wheaton Publishing","","",""
"http://index.rpg.net/display-entry.phtml?mainid=19475","Sherlock Holmes Consulting Detective","Raymond Edwards, Suzanne Goldberg, Gary Grady","Mystery / Historical","Victorian Era Place: London","Sleuth Publications","","","Person: Sherlock Holmes"
"http://index.rpg.net/display-entry.phtml?mainid=2646","Character Law","S. Coleman Charlton, Peter C. Fenlon Jr.","Fantasy","Generic","I.C.E.","Rolemaster","",""
"http://index.rpg.net/display-entry.phtml?mainid=1488","Alma Mater","Steve Davis, Andrew Warden","Humor","Modern","Oracle Games Ltd.","Generic / One-Off System 0","",""
"http://index.rpg.net/display-entry.phtml?mainid=7887","Starleader: Assault!","Howard Thompson","Science Fiction","Generic","Metagaming","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=6344","Man, Myth & Magic","Herbie Brennan","Historical","Ancient Rome","Yaquinto","Man, Myth & Magic","",""
"http://index.rpg.net/display-entry.phtml?mainid=6215","KABAL","Ernest T. Hams","Fantasy","Generic","Kabal Gaming Systems","KABAL","",""
"http://index.rpg.net/display-entry.phtml?mainid=219","James Bond 007","Greg Gorden, Robert Kern, Gerard Christopher Klug, Neil Randall","Espionage","Modern","Victory Games","James Bond 007","Origins Awards (Best Role-Playing Rules, 1983) Strategists' Club Award (Outstanding Role-Playing Game, 1984)",""
"http://index.rpg.net/display-entry.phtml?mainid=2047","Gamma World","Gary Jaquet, David J. Ritchie, James M. Ward","Post-Apocalypse","Gamma World","TSR","Gamma World 2","Origins Gamer's Choice Awards (Best Science-Fiction Role-Playing Game, 1987) Strategists' Club Award (Outstanding Game, 1978)",""
"http://index.rpg.net/display-entry.phtml?mainid=2989","Palladium Fantasy RPG","Kevin Siembieda","Fantasy","Palladium Fantasy","Palladium Books","Palladium Fantasy","",""
"http://index.rpg.net/display-entry.phtml?mainid=2072","Valley of the Pharaohs","Matthew Balent","Fantasy / Historical","Ancient Egypt","Palladium Books","Generic / One-Off System 0","",""
"http://index.rpg.net/display-entry.phtml?mainid=1539","Star Frontiers","David ""Zeb"" Cook, Lawrence Schick","Science Fiction","Generic","TSR","Star Frontiers 2","Strategists' Club Award (Outstanding Role-Playing Game, 1983)",""
"http://index.rpg.net/display-entry.phtml?mainid=4419","Privateers and Gentlemen","Jon Williams","Historical","18th century Europe","Fantasy Games Unlimited","Privateers and Gentlemen","",""
"http://index.rpg.net/display-entry.phtml?mainid=1386","Espionage!","George MacDonald, Steve Peterson","Espionage","Modern","Hero Games","HERO 2","",""
"http://index.rpg.net/display-entry.phtml?mainid=4409","Lands of Adventure","Lee Gold","Fantasy / Historical","Generic","Fantasy Games Unlimited","Generic / One-Off System 0","",""
"http://index.rpg.net/display-entry.phtml?mainid=288","Hidden Kingdom","Stanley Dokupil, Jon McClenahan","Fantasy","Arthurian Britain","New Rules","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=5302","Wizards' Realm","Cheryl W. Duval, Niels Erickson, William G. Murphy, Clifford Polite","Fantasy","Generic","Mystic Swamp","Generic / One-Off System 0","",""
"http://index.rpg.net/display-entry.phtml?mainid=6099","Victorian Adventure","Stephen Smith","Mystery","Victorian Era","Kestrel Design, UK","Victorian Adventure","",""
"http://index.rpg.net/display-entry.phtml?mainid=6221","Mach: The First Colony","Michael Lange","Science Fantasy","Generic","Alliance Publications","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=8151","Element Masters","Kenneth D. Burridge","Science Fantasy","Vinya","Escape Ventures","Element Masters","",""
"http://index.rpg.net/display-entry.phtml?mainid=6982","Super Squadron","Joseph Italiano","Super Hero","Generic","Adventure Simulations, Australia","Super Squadron","",""
"http://index.rpg.net/display-entry.phtml?mainid=6879","To Challenge Tomorrow","David F. Nalle","Generic","Generic","Ragnarok Enterprises","To Challenge Tomorrow","",""
"http://index.rpg.net/display-entry.phtml?mainid=6190","Witch Hunt","Paul D. Baader, Roger Buckelew","Horror / Historical","17th century","StatCom Simulations","Witch Hunt","",""
"http://index.rpg.net/display-entry.phtml?mainid=4424","Powers & Perils","Richard Snider","Fantasy","Donara","Avalon Hill","Powers & Perils","",""
"http://index.rpg.net/display-entry.phtml?mainid=2175","Superworld","Steve Perrin","Super Hero","Generic","Chaosium","Superworld","",""
"http://index.rpg.net/display-entry.phtml?mainid=10","Other Suns","Niall Shapero","Science Fiction","Generic","Fantasy Games Unlimited","BRP","",""
"http://index.rpg.net/display-entry.phtml?mainid=4988","Timeship","Herbie Brennan","Time Travel","Generic","Yaquinto","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=883","Toon","Greg Costikyan, Warren Spector","Cartoon","Generic","Steve Jackson Games","Toon","",""
"http://index.rpg.net/display-entry.phtml?mainid=382","Chill","David Ladyman, Michael Williams","Horror","Modern","Pacesetter","Chill","",""
"http://index.rpg.net/display-entry.phtml?mainid=1370","Justice Inc.","Aaron Allston, Steve Petersen, Michael A. Stackpole","Pulp","1930s","Hero Games","HERO 3","",""
"http://index.rpg.net/display-entry.phtml?mainid=3494","Marvel Super Heroes","Jeff Grubb, Steve Winter","Super Hero","Marvel Universe","TSR","Marvel Super Heroes","",""
"http://index.rpg.net/display-entry.phtml?mainid=1389","Lords of Creation","Tom Moldvay","Multigenre","Lords of Creation","Avalon Hill","Lords of Creation","",""
"http://index.rpg.net/display-entry.phtml?mainid=1579","Flashing Blades","Mark Pettigrew","Pulp / Swashbuckling","17th century Europe","Fantasy Games Unlimited","Flashing Blades","",""
"http://index.rpg.net/display-entry.phtml?mainid=338","Ringworld","John Hewitt, Sherman Kahn","Science Fiction","Known Space","Chaosium","Ringworld","",""
"http://index.rpg.net/display-entry.phtml?mainid=6157","DragonRaid","Dick Wulf","Fantasy / Christian","EdenAgain","Adventures For Christ","Adventure Learning System","",""
"http://index.rpg.net/display-entry.phtml?mainid=1932","Fringeworthy","Robert Sadler, Richard Tucholka","Science Fiction","Generic","Tri-Tac Systems","Fringeworthy","",""
"http://index.rpg.net/display-entry.phtml?mainid=1020","Star Ace","Mark Acres, Gali Sanchez, Carl Smith, Garry Spiegle, Michael Williams","Science Fiction","Far Future","Pacesetter","Star Ace","",""
"http://index.rpg.net/display-entry.phtml?mainid=1328","Maelstrom","Alexander Scott","Fantasy / Historical","Tudor period Time: 15th century, 16th century, 17th century","Puffin Books","Maelstrom","",""
"http://index.rpg.net/display-entry.phtml?mainid=1524","Elfquest","Steve Perrin","Fantasy","World of Two Moons","Chaosium","Elfquest","",""
"http://index.rpg.net/display-entry.phtml?mainid=1613","Fighting Fantasy","Steve Jackson (II)","Fantasy","Generic","Puffin Books","Fighting Fantasy","",""
"http://index.rpg.net/display-entry.phtml?mainid=6188","Timemaster","Mark Acres","Time Travel","Generic","Pacesetter","Timemaster","",""
"http://index.rpg.net/display-entry.phtml?mainid=6192","Golden Heroes","Simon Burley, Pete Haines","Super Hero","Generic","Games Workshop","Golden Heroes 2","",""
"http://index.rpg.net/display-entry.phtml?mainid=4314","Psi World","Cheron, Delbert Carr Jr.","Science Fiction","Near Future","Fantasy Games Unlimited","Psi World","",""
"http://index.rpg.net/display-entry.phtml?mainid=582","Swords & Glory, Volume 2: Tékumel Player's Handbook","M.A.R. Barker","Science Fantasy","Tékumel","Gamescience","Swords & Glory","",""
"http://index.rpg.net/display-entry.phtml?mainid=7284","Time & Time Again","H.N. Voss, W.P. Worzel","Time Travel","Generic","Timeline","Time and Time Again","",""
"http://index.rpg.net/display-entry.phtml?mainid=8132","Phantasy Conclave","","Fantasy","Generic","Phantasy Conclave","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=1493","The Morrow Project","Kevin Dockery, Robert Sadler, Richard Tucholka, H. N. Voss","Post-Apocalypse","The Morrow Project","Timeline","The Morrow Project 3","",""
"http://index.rpg.net/display-entry.phtml?mainid=6191","The Adventures of Indiana Jones","David ""Zeb"" Cook","Pulp","Indiana Jones","TSR","Indiana Jones","",""
"http://index.rpg.net/display-entry.phtml?mainid=2077","Skyrealms of Jorune","Amy Leker, Andrew Leker, Miles Teves","Science Fantasy","Jorune","SkyRealms Publishing","SkyRealms of Jorune 2","",""
"http://index.rpg.net/display-entry.phtml?mainid=1069","Teenage Mutant Ninja Turtles & Other Strangeness","Erick Wujcik","Super Hero / Vigilante","Teenage Mutant Ninja Turtles","Palladium Books","Teenage Mutant Ninja Turtles","",""
"http://index.rpg.net/display-entry.phtml?mainid=5541","The Arcanum","Stephan Michael Sechi, Vernie Taylor","Fantasy","The Atlantean World","Bard Games","Atlantis 2","",""
"http://index.rpg.net/display-entry.phtml?mainid=2045","Danger International","L. Douglas Garrett, George MacDonald, Steve Peterson","Modern","Modern","Hero Games","HERO 3","",""
"http://index.rpg.net/display-entry.phtml?mainid=947","Star Trek: The Role-Playing Game","Guy W. McLimore Jr., Greg K. Poehlein, David F. Tepool, Jordan K Weisman, Wm. John Wheeler","Science Fiction","Star Trek","FASA Corporation","Star Trek 2","",""
"http://index.rpg.net/display-entry.phtml?mainid=1942","FTL 2448","Robert Sadler, Richard Tucholka","Science Fiction","Generic","Tri-Tac Systems","FTL 2448 2","",""
"http://index.rpg.net/display-entry.phtml?mainid=2385","Conan Role-Playing Game","David ""Zeb"" Cook","Fantasy","Hyborian Age","TSR","Conan","",""
"http://index.rpg.net/display-entry.phtml?mainid=1611","The Way of Wizardry","Dave Morris","Fantasy","Legend","Corgi Books, UK","Dragon Warriors 0","",""
"http://index.rpg.net/display-entry.phtml?mainid=4210","Future Law","Terry K. Amthor, Kevin Barrett, S. Coleman Charlton, Peter C. Fenlon Jr.","Science Fiction","Generic","I.C.E.","Space Master","",""
"http://index.rpg.net/display-entry.phtml?mainid=8784","Fantasy Hero","Steve Peterson","Fantasy","Generic","Hero Games","HERO 3","",""
"http://index.rpg.net/display-entry.phtml?mainid=4211","Tech Law","Terry K. Amthor, Kevin Barrett","Science Fiction","Generic","I.C.E.","Space Master","",""
"http://index.rpg.net/display-entry.phtml?mainid=7356","Sandman: Map of Halaal","Mark Acres, Andria Hayday","Multigenre","Generic","Pacesetter","Sandman","",""
"http://index.rpg.net/display-entry.phtml?mainid=14164","The Future King","Tom Moldvay","Fantasy","Generic","Spellbinders Games","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=4212","Space Master","Terry K. Amthor, Kevin Barrett","Science Fiction","Terran Star Empire","I.C.E.","Space Master","",""
"http://index.rpg.net/display-entry.phtml?mainid=4563","Midnight at the Well of Souls Role-Playing System","Timothy R. Green","Science Fiction","Well World","TAG Industries","Generic / One-Off System 0","",""
"http://index.rpg.net/display-entry.phtml?mainid=6885","Dragonroar","","Fantasy","Generic","Standard Games, UK","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=13102","World Action And Adventure","Gregory L. Kinney","Generic","Generic","M.S. Kinney","","",""
"http://index.rpg.net/display-entry.phtml?mainid=14405","The Masters of the Universe Role Playing Game","Ross Babcock, Jack C. Harris","Fantasy","Eternia","FASA Corporation","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=7862","Rhand: Morningstar Missions","Robert Calvet, Barry Nakazono","Science Fiction","Living Steel","Leading Edge Games","Phoenix Command","",""
"http://index.rpg.net/display-entry.phtml?mainid=7282","Advanced Cassiopeian Empire","James Gowan, Ray Moats, Raymond Norton","Science Fiction","Generic","Norton Games","Advanced Cassiopeian Empire","",""
"http://index.rpg.net/display-entry.phtml?mainid=17950","Dinky Dungeons","Denton R. Elliott","Fantasy","Generic","Doc's Games: An Uncle Morty Production","Dinky Dungeons","",""
"http://index.rpg.net/display-entry.phtml?mainid=15200","Weirdzone","","Science Fantasy","Generic","Tri-Tac Systems","","",""
"http://index.rpg.net/display-entry.phtml?mainid=19485","Gumshoe: The Hard-Boiled Detective in the Thirties","Gary Grady","Action / Crime","1930s Time: 1930s, 20th century","Sleuth Publications","","",""
"http://index.rpg.net/display-entry.phtml?mainid=5658","Mekton","Mike Jones, Mike Pondsmith","Mecha","Algol","R. Talsorian Games","Mekton","",""
"http://index.rpg.net/display-entry.phtml?mainid=52","Excursion into the....Bizarre!","D. Wolfgang Trippe","Fantasy / Historical","Generic","Blind Dog Games","Excursion into the Bizarre","",""
"http://index.rpg.net/display-entry.phtml?mainid=1077","Ghostbusters","Sandy Petersen, Greg Stafford, Lynn Willis","Science Fiction / Humor","Modern Time: 1980s","West End Games","Ghostbusters","Origins Awards (Best Role-Playing Rules, 1986)",""
"http://index.rpg.net/display-entry.phtml?mainid=1231","HârnMaster","N. Robin Crossby, Tom Dalgliesh, Edwin King","Fantasy","Hârn","Columbia Games","HârnMaster","",""
"http://index.rpg.net/display-entry.phtml?mainid=1387","Mercenaries, Spies & Private Eyes","Michael A. Stackpole","Pulp","Modern","Sleuth Publications","Mercenaries, Spies & Private Eyes","",""
"http://index.rpg.net/display-entry.phtml?mainid=2653","Character Law & Campaign Law","S. Coleman Charlton, Peter C. Fenlon Jr., John David Ruemmler","Fantasy","Generic","I.C.E.","Rolemaster 2","",""
"http://index.rpg.net/display-entry.phtml?mainid=869","Recon","Matthew Balent, Kevin Siembieda, Maryann Siembieda, Erick Wujcik","War","Vietnam","Palladium Books","Recon 3","",""
