"";"Rank";"Country";"Documents";"Citable.documents";"Citations";"Self-citations";"Citations.per.document";"H.index";"year"
"95";95;"Sudan";1;1;11;1;11;12;"1996"
"96";96;"Kuwait";1;1;1;0;1;8;"1996"
"97";97;"Uzbekistan";1;1;1;0;1;9;"1996"
"98";98;"Côte d’Ivoire";1;1;5;0;5;11;"1996"
"99";99;"Liechtenstein";1;1;36;0;36;5;"1996"
"100";100;"Turkmenistan";1;1;12;0;12;4;"1996"
"101";101;"Yemen";1;1;6;3;6;16;"1996"
"102";102;"Bangladesh";1;1;16;13;16;11;"1996"
"103";103;"Nicaragua";1;1;52;2;52;16;"1996"
"104";104;"Syrian Arab Republic";1;1;8;1;8;18;"1996"
"105";105;"Uganda";1;1;51;6;51;12;"1996"
"106";106;"Burkina Faso";1;1;2;0;2;6;"1996"
"107";107;"Latvia";1;1;1;1;1;2;"1996"
"108";108;"El Salvador";1;1;15;7;15;11;"1996"
"109";109;"Panama";1;1;470;0;470;14;"1996"
"110";110;"Botswana";1;0;5;0;5;22;"1996"
"111";111;"Tunisia";1;1;2;1;2;14;"1996"
"112";112;"Fiji";1;1;1;1;1;10;"1996"
"113";113;"Tajikistan";1;1;0;0;0;13;"1996"
"114";1;"United States";3092;3073;149335;77061;48,3;306;"1997"
"115";2;"United Kingdom";659;656;27328;6440;41,47;183;"1997"
"116";3;"Germany";620;616;25608;7391;41,3;176;"1997"
"117";4;"France";571;570;32159;7992;56,32;188;"1997"
"118";5;"Japan";423;423;14727;4063;34,82;144;"1997"
"119";6;"Russian Federation";412;412;7908;2128;19,19;103;"1997"
"120";7;"Canada";409;408;17694;3778;43,26;154;"1997"
"121";8;"China";381;376;4410;2501;11,57;146;"1997"
"122";9;"Italy";354;354;9789;5105;27,65;133;"1997"
"123";10;"Australia";242;241;12099;2316;50;157;"1997"
"124";11;"Netherlands";143;142;8194;1103;57,3;121;"1997"
"125";12;"Switzerland";127;127;6219;1069;48,97;137;"1997"
"126";13;"Spain";123;123;4168;1747;33,89;99;"1997"
"127";14;"India";122;122;1818;1001;14,9;80;"1997"
"128";15;"New Zealand";121;121;3467;1132;28,65;89;"1997"
"129";16;"Sweden";106;106;3435;524;32,41;94;"1997"
"130";17;"Norway";98;98;3072;795;31,35;102;"1997"
"131";18;"Denmark";87;85;4348;698;49,98;92;"1997"
"132";19;"Mexico";81;80;1319;576;16,28;64;"1997"
"133";20;"Greece";68;68;1744;627;25,65;74;"1997"
"134";21;"Czech Republic";67;67;1108;363;16,54;55;"1997"
"135";22;"Finland";59;58;1502;467;25,46;74;"1997"
"136";23;"Brazil";53;53;1507;478;28,43;84;"1997"
"137";24;"Israel";52;50;2824;358;54,31;77;"1997"
"138";25;"South Africa";51;51;1839;401;36,06;82;"1997"
"139";26;"Taiwan";44;44;1886;1088;42,86;82;"1997"
"140";27;"Belgium";41;41;1449;206;35,34;88;"1997"
"141";28;"Austria";40;40;1643;438;41,08;81;"1997"
"142";29;"Hungary";37;37;617;178;16,68;52;"1997"
"143";30;"Argentina";36;36;430;128;11,94;57;"1997"
"144";31;"Turkey";35;35;1950;904;55,71;70;"1997"
"145";32;"Poland";33;33;679;168;20,58;55;"1997"
"146";33;"Ukraine";21;21;398;60;18,95;39;"1997"
"147";34;"Iceland";21;21;1683;208;80,14;56;"1997"
"148";35;"Colombia";20;20;589;155;29,45;28;"1997"
"149";36;"Egypt";18;18;422;116;23,44;32;"1997"
"150";37;"South Korea";16;16;411;187;25,69;64;"1997"
"151";38;"Chile";14;14;379;109;27,07;59;"1997"
"152";39;"Indonesia";13;13;601;66;46,23;50;"1997"
"153";40;"Ireland";13;13;298;49;22,92;54;"1997"
"154";41;"Nigeria";13;13;107;25;8,23;19;"1997"
"155";42;"Bulgaria";12;12;377;61;31,42;36;"1997"
"156";43;"Portugal";12;12;268;91;22,33;55;"1997"
"157";44;"Slovakia";11;11;288;57;26,18;38;"1997"
"158";45;"Puerto Rico";10;10;533;49;53,3;33;"1997"
"159";46;"Venezuela";10;10;199;93;19,9;23;"1997"
"160";47;"Hong Kong";9;8;336;59;37,33;54;"1997"
"161";48;"Philippines";8;8;19;12;2,38;24;"1997"
"162";49;"Romania";7;7;64;15;9,14;32;"1997"
"163";50;"Peru";7;7;97;12;13,86;36;"1997"
"164";51;"Cuba";6;6;49;22;8,17;16;"1997"
"165";52;"Costa Rica";6;6;94;13;15,67;31;"1997"
"166";53;"Morocco";6;6;90;38;15;33;"1997"
"167";54;"Kenya";6;6;262;54;43,67;19;"1997"
"168";55;"New Caledonia";6;6;241;22;40,17;31;"1997"
"169";56;"Iran";6;6;138;48;23;50;"1997"
"170";57;"Azerbaijan";5;5;158;65;31,6;17;"1997"
"171";58;"Zimbabwe";5;4;260;1;52;25;"1997"
"172";59;"Ecuador";5;5;140;7;28;32;"1997"
"173";60;"Ethiopia";4;4;27;13;6,75;31;"1997"
"174";61;"Kyrgyzstan";4;4;112;37;28;20;"1997"
"175";62;"Croatia";4;4;16;8;4;28;"1997"
"176";63;"Lebanon";3;3;52;5;17,33;14;"1997"
"177";64;"Yemen";3;3;41;13;13,67;16;"1997"
"178";65;"Saudi Arabia";3;3;53;3;17,67;31;"1997"
"179";66;"Bolivia";3;3;14;0;4,67;19;"1997"
"180";67;"Armenia";3;3;44;5;14,67;12;"1997"
"181";68;"Malaysia";3;3;116;1;38,67;26;"1997"
"182";69;"Algeria";3;3;24;6;8;26;"1997"
"183";70;"Viet Nam";3;3;182;59;60,67;23;"1997"
"184";71;"Singapore";2;2;21;4;10,5;26;"1997"
"185";72;"Syrian Arab Republic";2;2;30;5;15;18;"1997"
"186";73;"Kazakhstan";2;2;2;0;1;14;"1997"
"187";74;"Vanuatu ";2;2;20;3;10;8;"1997"
"188";75;"Uganda";2;2;22;0;11;12;"1997"
"189";76;"Estonia";2;2;7;1;3,5;29;"1997"
"190";77;"Tunisia";2;2;14;8;7;14;"1997"
"191";78;"Sri Lanka";2;2;50;1;25;15;"1997"
"192";79;"Madagascar";2;2;34;5;17;14;"1997"
"193";80;"Uzbekistan";2;2;19;0;9,5;9;"1997"
"194";81;"Thailand";2;2;122;34;61;26;"1997"
"195";82;"Oman";2;2;65;6;32,5;22;"1997"
"196";83;"Botswana";1;1;34;2;34;22;"1997"
"197";84;"United Arab Emirates";1;1;0;0;0;18;"1997"
"198";85;"Fiji";1;1;9;1;9;10;"1997"
"199";86;"Tajikistan";1;1;0;0;0;13;"1997"
"200";87;"Guadeloupe";1;1;13;1;13;13;"1997"
"201";88;"Georgia";1;1;62;3;62;17;"1997"
"202";89;"Cameroon";1;1;14;8;14;16;"1997"
"203";90;"Qatar";1;1;8;0;8;5;"1997"
"204";91;"Angola";1;1;63;2;63;8;"1997"
"205";92;"Ghana";1;1;43;4;43;16;"1997"
"206";93;"Namibia";1;1;31;0;31;18;"1997"
"207";94;"Guatemala";1;1;8;2;8;11;"1997"
"208";95;"French Polynesia";1;1;24;1;24;18;"1997"
"209";96;"Burkina Faso";1;1;85;0;85;6;"1997"
"210";97;"Jordan";1;1;22;0;22;22;"1997"
"211";98;"Pakistan";1;1;1;0;1;23;"1997"
"212";99;"Montserrat";1;1;92;0;92;19;"1997"
"213";100;"Bangladesh";1;1;3;2;3;11;"1997"
"214";101;"Slovenia";1;1;20;5;20;25;"1997"
"215";102;"Uruguay";1;1;11;0;11;11;"1997"
"216";103;"Mongolia";1;1;44;14;44;24;"1997"
"217";104;"Solomon Islands";1;1;70;4;70;8;"1997"
"218";105;"Guinea";1;1;0;0;0;1;"1997"
"219";106;"El Salvador";1;1;19;8;19;11;"1997"
"220";107;"Senegal";1;1;8;0;8;15;"1997"
"221";108;"Reunion";1;1;130;2;130;7;"1997"
"222";109;"Tanzania";1;1;24;1;24;22;"1997"
"223";110;"Sudan";1;1;19;2;19;12;"1997"
"224";111;"Eritrea";1;1;26;1;26;9;"1997"
"225";1;"United States";3241;3218;153125;81290;47,25;306;"1998"
"226";2;"Germany";672;671;24659;6991;36,69;176;"1998"
"227";3;"France";657;654;32735;8598;49,82;188;"1998"
"228";4;"United Kingdom";656;651;28043;6904;42,75;183;"1998"
"229";5;"Russian Federation";574;573;7696;2318;13,41;103;"1998"
"230";6;"Japan";539;539;19730;5372;36,6;144;"1998"
"231";7;"Canada";411;408;16632;3643;40,47;154;"1998"
"232";8;"China";410;404;6718;4688;16,39;146;"1998"
"233";9;"Italy";348;348;10518;5282;30,22;133;"1998"
"234";10;"Australia";328;325;16262;3800;49,58;157;"1998"
"235";11;"Netherlands";162;162;6579;1254;40,61;121;"1998"
"236";12;"New Zealand";137;137;4264;1679;31,12;89;"1998"
"237";13;"Switzerland";130;130;5725;1178;44,04;137;"1998"
"238";14;"Norway";129;129;4589;1271;35,57;102;"1998"
"239";15;"Spain";118;117;4285;1475;36,31;99;"1998"
"240";16;"India";114;113;2419;1184;21,22;80;"1998"
"241";17;"Sweden";114;114;3792;624;33,26;94;"1998"
"242";18;"Brazil";87;86;3165;951;36,38;84;"1998"
"243";19;"Greece";81;81;2328;742;28,74;74;"1998"
"244";20;"Finland";76;76;2344;531;30,84;74;"1998"
"245";21;"Denmark";75;75;3392;525;45,23;92;"1998"
"246";22;"Mexico";69;69;2072;338;30,03;64;"1998"
"247";23;"Israel";66;65;2044;390;30,97;77;"1998"
"248";24;"Czech Republic";65;65;1145;331;17,62;55;"1998"
"249";25;"Hungary";64;64;1169;288;18,27;52;"1998"
"250";26;"Belgium";63;63;3189;455;50,62;88;"1998"
"251";27;"Austria";59;59;2034;329;34,47;81;"1998"
"252";28;"Poland";54;54;1055;244;19,54;55;"1998"
"253";29;"Turkey";49;49;2246;1528;45,84;70;"1998"
"254";30;"South Africa";45;45;2178;358;48,4;82;"1998"
"255";31;"Taiwan";45;45;1468;567;32,62;82;"1998"
"256";32;"South Korea";33;33;1426;221;43,21;64;"1998"
"257";33;"Nigeria";29;29;97;54;3,34;19;"1998"
"258";34;"Argentina";29;29;824;226;28,41;57;"1998"
"259";35;"Ukraine";27;27;275;50;10,19;39;"1998"
"260";36;"Portugal";25;25;996;350;39,84;55;"1998"
"261";37;"Slovakia";23;23;610;85;26,52;38;"1998"
"262";38;"Iceland";20;20;718;141;35,9;56;"1998"
"263";39;"Puerto Rico";16;16;474;38;29,63;33;"1998"
"264";40;"Egypt";16;16;212;83;13,25;32;"1998"
"265";41;"Ireland";15;15;720;62;48;54;"1998"
"266";42;"Hong Kong";15;15;207;18;13,8;54;"1998"
"267";43;"Bulgaria";13;13;377;93;29;36;"1998"
"268";44;"Trinidad and Tobago";13;13;744;49;57,23;20;"1998"
"269";45;"Indonesia";10;10;309;41;30,9;50;"1998"
"270";46;"Chile";10;10;168;43;16,8;59;"1998"
"271";47;"Croatia";9;9;347;168;38,56;28;"1998"
"272";48;"Morocco";8;8;171;61;21,38;33;"1998"
"273";49;"Slovenia";8;8;230;53;28,75;25;"1998"
"274";50;"Peru";7;7;80;7;11,43;36;"1998"
"275";51;"Algeria";7;7;58;22;8,29;26;"1998"
"276";52;"Estonia";6;6;173;57;28,83;29;"1998"
"277";53;"Costa Rica";6;6;38;8;6,33;31;"1998"
"278";54;"New Caledonia";6;6;273;41;45,5;31;"1998"
"279";55;"Kazakhstan";6;6;2;1;0,33;14;"1998"
"280";56;"Montserrat";5;5;324;40;64,8;19;"1998"
"281";57;"Ethiopia";5;5;316;106;63,2;31;"1998"
"282";58;"Iran";5;5;180;73;36;50;"1998"
"283";59;"Belarus";4;4;53;12;13,25;19;"1998"
"284";60;"Venezuela";4;4;35;10;8,75;23;"1998"
"285";61;"Namibia";4;4;184;17;46;18;"1998"
"286";62;"Albania";4;4;41;9;10,25;12;"1998"
"287";63;"Romania";4;4;10;4;2,5;32;"1998"
"288";64;"Cuba";4;4;30;5;7,5;16;"1998"
"289";65;"Philippines";4;4;66;13;16,5;24;"1998"
"290";66;"Georgia";4;4;40;10;10;17;"1998"
"291";67;"Papua New Guinea";3;3;163;15;54,33;15;"1998"
"292";68;"Jordan";3;3;6;2;2;22;"1998"
"293";69;"Colombia";3;3;223;17;74,33;28;"1998"
"294";70;"Saudi Arabia";3;3;72;32;24;31;"1998"
"295";71;"Madagascar";2;2;55;15;27,5;14;"1998"
"296";72;"Ghana";2;2;10;0;5;16;"1998"
"297";73;"Burkina Faso";2;2;39;1;19,5;6;"1998"
"298";74;"Bangladesh";2;2;2;2;1;11;"1998"
"299";75;"Botswana";2;2;12;0;6;22;"1998"
"300";76;"Honduras";2;2;32;0;16;7;"1998"
"301";77;"Ecuador";2;2;59;20;29,5;32;"1998"
"302";78;"Malaysia";2;2;111;9;55,5;26;"1998"
"303";79;"Viet Nam";2;2;90;20;45;23;"1998"
"304";80;"Armenia";2;2;50;0;25;12;"1998"
"305";81;"Bermuda";2;2;161;20;80,5;21;"1998"
"306";82;"French Polynesia";1;1;22;4;22;18;"1998"
"307";83;"Thailand";1;1;20;11;20;26;"1998"
"308";84;"Zambia ";1;1;2;0;2;13;"1998"
"309";85;"Pakistan";1;1;30;2;30;23;"1998"
"310";86;"Zimbabwe";1;1;29;3;29;25;"1998"
"311";87;"Nepal";1;1;0;0;0;25;"1998"
"312";88;"Qatar";1;1;3;0;3;5;"1998"
"313";89;"Solomon Islands";1;1;0;0;0;8;"1998"
"314";90;"Lithuania";1;1;137;3;137;15;"1998"
"315";91;"Faroe Islands";1;1;6;0;6;7;"1998"
"316";92;"Iraq";1;1;8;3;8;7;"1998"
"317";93;"Eritrea";1;1;41;0;41;9;"1998"
"318";94;"Seychelles";1;1;6;0;6;5;"1998"
"319";95;"United Arab Emirates";1;1;3;1;3;18;"1998"
"320";96;"Lebanon";1;1;95;18;95;14;"1998"
"321";97;"Malta";1;1;13;0;13;13;"1998"
"322";98;"Kyrgyzstan";1;1;6;0;6;20;"1998"
"323";99;"Guadeloupe";1;1;47;1;47;13;"1998"
"324";100;"Tajikistan";1;1;0;0;0;13;"1998"
"325";101;"Tanzania";1;1;5;1;5;22;"1998"
"326";102;"Cameroon";1;1;12;7;12;16;"1998"
"327";103;"Singapore";1;1;1;0;1;26;"1998"
"328";104;"Angola";1;1;12;1;12;8;"1998"
"329";105;"Fiji";1;1;0;0;0;10;"1998"
"330";106;"Nicaragua";1;1;9;0;9;16;"1998"
"331";107;"El Salvador";1;1;9;2;9;11;"1998"
"332";108;"Reunion";1;1;42;0;42;7;"1998"
"333";1;"United States";3175;3143;138678;74283;43,68;306;"1999"
"334";2;"Germany";766;761;31112;9344;40,62;176;"1999"
"335";3;"France";669;668;29015;8081;43,37;188;"1999"
"336";4;"United Kingdom";620;617;26338;6811;42,48;183;"1999"
"337";5;"Russian Federation";552;551;6633;2056;12,02;103;"1999"
"338";6;"Japan";524;524;16840;5370;32,14;144;"1999"
"339";7;"China";450;448;5878;3708;13,06;146;"1999"
"340";8;"Canada";414;412;16704;4099;40,35;154;"1999"
"341";9;"Italy";407;407;14283;7283;35,09;133;"1999"
"342";10;"Australia";277;277;14375;3013;51,9;157;"1999"
"343";11;"Switzerland";171;170;9302;1516;54,4;137;"1999"
"344";12;"Netherlands";162;160;8481;1373;52,35;121;"1999"
"345";13;"Norway";119;119;4069;863;34,19;102;"1999"
"346";14;"Spain";119;119;4926;1658;41,39;99;"1999"
"347";15;"India";112;112;2517;1463;22,47;80;"1999"
"348";16;"Czech Republic";102;102;1536;323;15,06;55;"1999"
"349";17;"New Zealand";99;99;3741;1614;37,79;89;"1999"
"350";18;"Poland";87;87;1142;591;13,13;55;"1999"
"351";19;"Sweden";85;85;3572;519;42,02;94;"1999"
"352";20;"Mexico";83;83;1290;526;15,54;64;"1999"
"353";21;"Denmark";74;74;2877;466;38,88;92;"1999"
"354";22;"Brazil";74;74;1865;516;25,2;84;"1999"
"355";23;"Finland";67;67;2075;540;30,97;74;"1999"
"356";24;"Greece";55;55;1973;614;35,87;74;"1999"
"357";25;"South Africa";53;53;1764;561;33,28;82;"1999"
"358";26;"Belgium";52;51;1813;484;34,87;88;"1999"
"359";27;"Austria";51;51;2156;255;42,27;81;"1999"
"360";28;"Hungary";43;43;864;161;20,09;52;"1999"
"361";29;"Israel";42;42;1347;184;32,07;77;"1999"
"362";30;"Taiwan";40;40;1326;388;33,15;82;"1999"
"363";31;"Argentina";37;37;803;287;21,7;57;"1999"
"364";32;"Turkey";36;36;982;486;27,28;70;"1999"
"365";33;"Ukraine";32;32;614;140;19,19;39;"1999"
"366";34;"South Korea";30;30;1052;249;35,07;64;"1999"
"367";35;"Chile";29;29;1206;286;41,59;59;"1999"
"368";36;"Portugal";27;27;743;256;27,52;55;"1999"
"369";37;"Nigeria";25;25;70;52;2,8;19;"1999"
"370";38;"Iceland";24;24;726;91;30,25;56;"1999"
"371";39;"Indonesia";23;23;826;141;35,91;50;"1999"
"372";40;"Egypt";18;18;281;161;15,61;32;"1999"
"373";41;"Slovakia";17;17;496;82;29,18;38;"1999"
"374";42;"Ireland";14;14;352;34;25,14;54;"1999"
"375";43;"Iran";13;13;255;119;19,62;50;"1999"
"376";44;"Puerto Rico";12;12;224;28;18,67;33;"1999"
"377";45;"Romania";11;11;144;41;13,09;32;"1999"
"378";46;"Venezuela";10;10;206;54;20,6;23;"1999"
"379";47;"Philippines";10;10;637;51;63,7;24;"1999"
"380";48;"Bulgaria";10;10;118;29;11,8;36;"1999"
"381";49;"Algeria";9;9;194;35;21,56;26;"1999"
"382";50;"Georgia";9;9;239;14;26,56;17;"1999"
"383";51;"Hong Kong";9;9;172;17;19,11;54;"1999"
"384";52;"Saudi Arabia";6;6;150;48;25;31;"1999"
"385";53;"Belarus";6;6;118;4;19,67;19;"1999"
"386";54;"Ethiopia";6;6;147;51;24,5;31;"1999"
"387";55;"Croatia";6;6;5;2;0,83;28;"1999"
"388";56;"Colombia";5;5;22;4;4,4;28;"1999"
"389";57;"Singapore";5;5;207;32;41,4;26;"1999"
"390";58;"Cuba";5;5;28;7;5,6;16;"1999"
"391";59;"Costa Rica";5;5;62;27;12,4;31;"1999"
"392";60;"Peru";4;4;138;9;34,5;36;"1999"
"393";61;"Kenya";4;4;135;19;33,75;19;"1999"
"394";62;"Kuwait";4;4;5;2;1,25;8;"1999"
"395";63;"Morocco";4;4;154;50;38,5;33;"1999"
"396";64;"Kazakhstan";4;4;6;4;1,5;14;"1999"
"397";65;"Lebanon";4;4;59;6;14,75;14;"1999"
"398";66;"Namibia";4;4;123;12;30,75;18;"1999"
"399";67;"Pakistan";4;4;177;36;44,25;23;"1999"
"400";68;"Ecuador";3;3;209;69;69,67;32;"1999"
"401";69;"Nepal";3;3;115;19;38,33;25;"1999"
"402";70;"Fiji";3;3;48;5;16;10;"1999"
"403";71;"Uzbekistan";3;3;14;2;4,67;9;"1999"
"404";72;"Zimbabwe";3;3;48;0;16;25;"1999"
"405";73;"Viet Nam";3;3;51;14;17;23;"1999"
"406";74;"Albania";3;3;78;18;26;12;"1999"
"407";75;"Senegal";3;3;71;6;23,67;15;"1999"
"408";76;"Cameroon";2;2;66;42;33;16;"1999"
"409";77;"Armenia";2;2;7;0;3,5;12;"1999"
"410";78;"French Polynesia";2;2;29;0;14,5;18;"1999"
"411";79;"Tajikistan";2;2;1;0;0,5;13;"1999"
"412";80;"Estonia";2;2;37;6;18,5;29;"1999"
"413";81;"Papua New Guinea";2;2;52;3;26;15;"1999"
"414";82;"Jordan";2;2;10;1;5;22;"1999"
"415";83;"Oman";2;2;28;5;14;22;"1999"
"416";84;"French Guiana";2;2;27;2;13,5;4;"1999"
"417";85;"New Caledonia";2;2;80;5;40;31;"1999"
"418";86;"Lithuania";2;2;266;18;133;15;"1999"
"419";87;"Eritrea";2;2;105;0;52,5;9;"1999"
"420";88;"Laos";1;1;13;0;13;6;"1999"
"421";89;"Dominican Republic";1;1;0;0;0;7;"1999"
"422";90;"Bolivia";1;1;96;11;96;19;"1999"
"423";91;"Bermuda";1;1;108;16;108;21;"1999"
"424";92;"Mali";1;1;25;0;25;2;"1999"
"425";93;"Reunion";1;1;29;0;29;7;"1999"
"426";94;"Bosnia and Herzegovina";1;1;0;0;0;6;"1999"
"427";95;"Myanmar";1;1;41;4;41;6;"1999"
"428";96;"Solomon Islands";1;1;110;10;110;8;"1999"
"429";97;"Virgin Islands (U.S.)";1;1;22;0;22;3;"1999"
"430";98;"Cape Verde";1;1;44;1;44;7;"1999"
"431";99;"Panama";1;1;31;0;31;14;"1999"
"432";100;"Tunisia";1;1;31;8;31;14;"1999"
"433";101;"Sri Lanka";1;1;0;0;0;15;"1999"
"434";102;"Guyana";1;1;10;4;10;4;"1999"
"435";103;"Monaco";1;1;15;1;15;14;"1999"
"436";104;"Angola";1;1;49;3;49;8;"1999"
"437";105;"Yemen";1;1;15;2;15;16;"1999"
"438";106;"Honduras";1;1;11;0;11;7;"1999"
"439";107;"Ghana";1;1;17;5;17;16;"1999"
"440";108;"Luxembourg";1;1;6;0;6;25;"1999"
"441";109;"Côte d’Ivoire";1;1;19;1;19;11;"1999"
"442";110;"Libya";1;1;32;9;32;7;"1999"
"443";111;"Djibouti";1;1;24;2;24;3;"1999"
"444";112;"Malaysia";1;1;15;7;15;26;"1999"
"445";113;"Jamaica";1;1;7;0;7;12;"1999"
"446";114;"Cyprus";1;1;1;0;1;15;"1999"
"447";115;"Mongolia";1;1;62;14;62;24;"1999"
"448";116;"Guadeloupe";1;1;24;1;24;13;"1999"
"449";117;"Macedonia";1;1;0;0;0;6;"1999"
"450";118;"Madagascar";1;1;7;0;7;14;"1999"
"451";1;"United States";3371;3355;132411;71362;39,28;306;"2000"
"452";2;"United Kingdom";783;780;30454;7671;38,89;183;"2000"
"453";3;"Germany";740;738;29118;8084;39,35;176;"2000"
"454";4;"France";709;708;31716;8650;44,73;188;"2000"
"455";5;"Russian Federation";582;581;8189;2409;14,07;103;"2000"
"456";6;"China";522;520;9813;7144;18,8;146;"2000"
"457";7;"Japan";520;520;15007;5433;28,86;144;"2000"
